,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
0,LeBron James,LAL,38,48,48,100,11.2,22.3,50.3,55.0,69.4,9.1,15.5,59.0,30.6,2.1,6.8,30.5
1,Luka Doncic,DAL,24,61,61,100,11.0,22.2,49.7,56.1,63.2,8.2,14.0,58.3,36.8,2.8,8.2,34.8
2,Jayson Tatum,BOS,25,69,69,100,9.8,21.4,46.0,53.6,56.0,6.6,12.0,55.1,44.0,3.2,9.4,34.4
3,Damian Lillard,POR,32,58,58,100,9.6,20.7,46.3,56.4,45.3,5.4,9.4,57.4,54.7,4.2,11.3,37.1
4,Jaylen Brown,BOS,26,63,63,100,10.2,20.6,49.4,55.5,64.2,7.6,13.2,57.8,35.8,2.5,7.4,34.2
5,Devin Booker,PHX,26,48,48,100,10.2,20.5,49.9,55.2,71.2,8.0,14.6,55.2,28.8,2.2,5.9,36.8
6,Giannis Antetokounmpo,MIL,28,59,59,100,11.2,20.4,55.0,56.9,86.3,10.4,17.6,59.2,13.7,0.8,2.8,28.6
7,Shai Gilgeous-Alexander,OKC,24,64,64,100,10.4,20.3,51.0,53.2,87.9,9.5,17.9,53.2,12.1,0.9,2.5,35.1
8,Ja Morant,MEM,23,56,56,100,9.5,20.3,46.7,50.4,75.7,7.9,15.4,51.6,24.3,1.5,4.9,31.2
9,Donovan Mitchell,CLE,26,64,64,100,9.7,20.3,47.7,56.4,54.1,6.1,11.0,56.0,45.9,3.5,9.3,37.9
10,Stephen Curry,GSW,35,49,49,100,10.0,20.3,49.5,61.6,43.4,5.1,8.8,58.4,56.6,4.9,11.5,42.7
11,Joel Embiid,PHI,29,61,61,100,11.0,20.3,54.5,57.0,85.0,10.0,17.2,58.1,15.0,1.0,3.0,34.0
12,LaMelo Ball,CHA,21,36,36,100,8.2,20.0,41.1,51.0,46.9,4.2,9.4,44.9,53.1,4.0,10.6,37.6
13,Kyrie Irving,DAL,31,56,56,100,9.8,20.0,49.0,56.9,58.1,6.6,11.6,57.1,41.9,3.2,8.4,37.7
14,Trae Young,ATL,24,68,68,100,8.4,19.3,43.4,49.1,66.8,6.2,12.9,47.9,33.2,2.2,6.4,34.4
15,Anthony Edwards,MIN,21,73,73,100,8.9,19.3,45.9,52.8,62.3,6.2,12.0,51.4,37.7,2.7,7.3,36.8
16,Julius Randle,NYK,28,76,76,100,8.6,18.8,46.1,53.7,55.5,5.8,10.4,55.5,44.5,2.9,8.3,34.4
17,Terry Rozier,CHA,29,63,63,100,7.8,18.7,41.6,48.6,57.7,5.2,10.8,48.3,42.3,2.6,7.9,32.7
18,Cade Cunningham,DET,21,12,12,100,7.8,18.7,41.5,45.3,72.8,6.3,13.6,46.6,27.2,1.4,5.1,28.0
19,Pascal Siakam,TOR,28,65,65,100,8.8,18.6,47.5,51.2,77.9,7.5,14.5,51.5,22.1,1.4,4.1,33.5
20,Kevin Durant,PHX,34,42,42,100,10.4,18.4,56.5,61.5,74.1,8.6,13.6,62.9,25.9,1.8,4.8,38.4
21,De'Aaron Fox,SAC,25,67,67,100,9.4,18.3,51.6,56.1,72.7,7.8,13.3,58.4,27.3,1.7,5.0,33.5
22,Klay Thompson,GSW,33,63,63,100,7.9,18.2,43.2,55.0,41.8,3.6,7.6,46.8,58.2,4.3,10.6,40.6
23,Brandon Ingram,NOP,25,38,38,100,8.8,18.2,48.2,52.5,78.3,7.2,14.2,50.4,21.7,1.6,4.0,40.0
