,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
0,Luka Doncic,DAL,24,61,61,53.3,4.6,11.8,39.3,49.5,21.7,2.2,4.8,46.0,31.6,2.4,7.0,34.6
1,Devin Booker,PHX,26,48,47,55.0,5.1,11.3,45.0,50.5,36.6,3.8,7.5,51.2,18.4,1.2,3.8,32.6
2,DeMar DeRozan,CHI,33,67,67,58.2,4.9,10.3,47.5,48.1,56.3,4.8,10.0,48.0,1.9,0.1,0.3,35.3
3,Trae Young,ATL,24,68,68,52.9,4.0,10.2,38.8,47.1,26.6,2.3,5.2,43.9,26.3,1.7,5.1,33.6
4,Kevin Durant,PHX,34,42,42,55.4,5.6,10.2,55.0,59.1,43.2,4.8,7.9,60.0,12.2,0.8,2.2,37.1
5,Damian Lillard,POR,32,58,58,46.7,3.9,9.7,40.5,54.6,11.1,1.2,2.3,50.6,35.5,2.7,7.4,37.2
6,Donovan Mitchell,CLE,26,64,64,46.8,4.0,9.5,42.2,53.7,18.8,1.8,3.8,47.5,28.0,2.2,5.7,38.6
7,Kyrie Irving,DAL,31,56,56,46.6,4.3,9.3,45.6,54.8,23.9,2.5,4.8,53.2,22.8,1.7,4.5,37.6
8,Brandon Ingram,NOP,25,38,38,50.8,4.0,9.2,42.7,44.6,45.2,3.6,8.2,44.0,5.6,0.3,1.0,33.0
9,Shai Gilgeous-Alexander,OKC,24,64,64,44.7,4.2,9.1,46.1,49.6,36.2,3.6,7.4,48.4,8.5,0.6,1.7,36.6
10,Stephen Curry,GSW,35,49,49,44.6,4.2,9.0,46.3,62.1,14.0,1.3,2.8,46.8,30.6,2.9,6.2,46.1
11,Cade Cunningham,DET,21,12,12,47.3,3.7,8.8,41.5,45.3,32.6,3.0,6.1,49.3,14.7,0.7,2.8,24.4
12,De'Aaron Fox,SAC,25,67,67,47.4,3.6,8.7,41.6,46.5,32.7,2.8,6.0,46.1,14.7,0.8,2.7,31.6
13,Jamal Murray,DEN,26,61,61,52.9,3.5,8.6,40.3,49.0,29.9,2.0,4.8,40.6,23.0,1.5,3.7,39.8
14,Dejounte Murray,ATL,26,68,66,47.5,3.9,8.5,45.8,49.5,38.0,3.3,6.8,47.9,9.5,0.6,1.7,36.8
15,CJ McCollum,NOP,31,68,68,47.0,3.5,8.4,42.1,48.9,29.9,2.4,5.3,44.9,17.2,1.1,3.1,37.5
16,Kawhi Leonard,LAC,31,47,46,50.6,4.1,8.4,48.7,53.6,38.4,3.3,6.4,51.6,12.2,0.8,2.0,40.1
17,Terry Rozier,CHA,29,63,63,44.1,3.1,8.3,37.3,45.6,20.9,1.7,3.9,43.8,23.2,1.4,4.3,31.5
18,Chris Paul,PHX,37,54,53,73.4,3.5,8.2,42.2,47.3,48.7,2.6,5.5,48.5,24.8,0.8,2.8,29.9
19,Jalen Brunson,NYK,26,65,65,46.9,3.6,8.2,44.6,51.0,31.0,2.6,5.4,48.1,15.9,1.1,2.8,37.9
20,LaMelo Ball,CHA,21,36,36,40.8,3.0,8.2,36.7,47.6,15.3,1.2,3.1,39.9,25.5,1.8,5.1,34.8
21,Paul George,LAC,32,56,56,45.3,3.2,8.1,39.3,47.7,24.3,1.8,4.4,42.2,21.0,1.4,3.8,36.1
22,Tyler Herro,MIA,23,61,61,48.2,3.1,8.1,38.2,47.2,24.6,1.6,4.1,39.9,23.6,1.4,4.0,36.5
