,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Joel Embiid,PHI,63,6.7,23.5,1.22,8.2,2.8,5.0,57.4,60.6,21.2,9.9,20.8,4.7,58.5,67.8
1,Nikola Vucevic,CHI,77,4.7,28.1,1.08,5.0,2.2,4.2,51.7,55.8,4.4,6.7,4.4,1.4,49.7,40.9
2,Deandre Ayton,PHX,64,4.9,29.6,1.21,5.9,2.7,4.3,62.0,62.2,9.6,5.4,9.9,3.2,60.3,67.0
3,Bam Adebayo,MIA,72,4.2,21.0,1.13,4.8,1.9,3.5,55.1,55.1,13.1,5.2,13.1,2.0,56.7,52.7
4,Anthony Davis,LAL,51,4.6,19.8,1.3,6.0,2.4,3.8,63.6,64.9,14.5,4.7,14.5,2.6,64.1,79.9
5,Evan Mobley,CLE,76,3.4,21.9,1.1,3.8,1.5,2.6,58.1,59.6,17.6,10.7,16.9,4.2,55.2,43.6
6,Brook Lopez,MIL,75,2.9,20.8,1.3,3.7,1.5,2.6,56.6,64.8,9.8,3.3,9.8,4.7,57.0,81.1
7,Myles Turner,IND,62,3.5,22.8,1.24,4.4,1.6,2.9,55.3,60.9,16.1,5.5,15.6,3.7,57.8,70.5
8,Domantas Sabonis,SAC,75,2.6,14.9,1.33,3.4,1.4,2.1,68.4,69.6,17.6,6.7,17.1,6.2,65.8,83.3
9,Christian Wood,DAL,65,2.6,17.6,1.48,3.9,1.4,2.2,64.3,74.1,16.4,4.7,15.8,4.7,65.5,94.7
10,Alperen Sengun,HOU,71,3.1,20.9,1.13,3.5,1.4,2.5,56.5,57.9,16.1,7.8,14.7,5.0,55.5,49.6
11,Clint Capela,ATL,61,2.8,28.1,1.37,3.9,1.8,2.5,70.9,70.9,12.2,4.7,12.2,4.7,69.8,89.8
12,Jarrett Allen,CLE,65,3.0,24.6,1.16,3.5,1.5,2.4,61.8,62.1,11.3,10.8,10.3,2.6,58.5,57.6
13,Kristaps Porzingis,WAS,65,2.9,14.0,1.18,3.4,1.1,2.4,46.2,56.1,15.1,3.8,14.0,2.7,50.5,60.6
14,Nikola Jokic,DEN,67,2.4,11.3,1.36,3.2,1.4,2.1,67.4,71.7,8.8,6.9,8.8,2.5,63.5,89.4
15,Nic Claxton,BKN,72,2.2,21.0,1.37,3.0,1.3,1.7,76.4,76.4,19.7,7.6,19.7,6.4,72.0,90.5
16,Jonas Valanciunas,NOP,75,2.6,18.8,1.07,2.8,1.2,2.3,49.7,52.9,8.2,3.1,8.2,1.5,51.5,40.2
17,Naz Reid,MIN,68,2.3,21.6,1.14,2.6,1.1,2.0,52.6,59.9,8.3,6.4,7.7,2.6,50.6,53.8
18,Rudy Gobert,MIN,66,2.2,18.1,1.24,2.7,1.1,1.6,68.9,68.9,24.6,8.5,23.9,5.6,66.9,70.8
19,Ivica Zubac,LAC,73,1.9,19.2,1.27,2.4,0.9,1.3,68.4,68.4,20.6,11.0,19.9,3.7,65.4,75.0
20,Dwight Powell,DAL,73,1.6,28.9,1.47,2.3,0.9,1.2,77.9,77.9,24.1,6.9,24.1,5.2,74.1,93.9
21,Lauri Markkanen,UTA,65,2.0,9.0,1.32,2.6,0.9,1.7,52.3,62.4,15.0,3.1,12.6,3.9,55.9,83.0
22,Wendell Carter Jr.,ORL,54,2.7,18.4,1.13,3.0,1.2,2.3,54.5,60.6,6.9,8.3,6.9,1.4,52.1,51.1
23,Onyeka Okongwu,ATL,75,1.7,20.6,1.28,2.2,0.9,1.4,65.7,65.7,17.3,8.7,15.7,6.3,63.0,76.1
24,Daniel Gafford,WAS,74,1.6,23.6,1.33,2.2,0.9,1.3,69.8,69.8,19.2,6.7,19.2,5.8,65.8,85.7
25,P.J. Washington,CHA,73,1.7,10.6,1.27,2.1,0.8,1.5,54.5,61.8,11.4,2.4,9.8,3.3,56.9,74.2
26,Bobby Portis,MIL,66,1.9,14.1,1.16,2.2,0.8,1.7,50.9,60.5,5.7,6.5,5.7,2.4,48.8,57.2
27,Brandon Clarke,MEM,56,1.8,21.8,1.4,2.5,1.1,1.6,67.4,67.4,18.0,3.0,17.0,10.0,68.0,92.0
28,Zach Collins,SAS,61,2.2,19.1,1.03,2.3,0.9,2.0,46.7,54.1,6.7,5.9,6.7,3.0,45.9,34.1
29,Isaiah Jackson,IND,59,1.9,29.0,1.15,2.2,0.9,1.6,53.6,53.6,21.7,1.7,20.9,7.8,59.1,54.5
30,Jusuf Nurkic,POR,52,2.2,16.6,1.14,2.5,1.0,1.7,56.2,58.4,23.3,12.9,23.3,12.9,53.4,53.4
31,Thomas Bryant,LAL,41,2.4,25.8,1.35,3.2,1.3,2.0,65.9,67.7,16.5,4.1,16.5,5.2,64.9,87.9
32,Kenyon Martin Jr.,HOU,78,1.3,11.8,1.25,1.6,0.6,1.0,63.2,64.5,21.6,8.8,20.6,4.9,61.8,71.2
33,John Collins,ATL,67,1.6,13.0,1.2,1.9,0.7,1.3,54.4,58.3,12.4,4.8,12.4,2.9,56.2,66.0
34,Mason Plumlee,CHA,56,1.9,17.8,1.19,2.3,0.9,1.4,62.3,62.3,28.3,7.5,27.4,8.5,61.3,64.4
35,Jakob Poeltl,SAS,46,2.4,20.2,1.12,2.7,1.2,2.0,61.1,61.1,12.8,9.2,12.8,4.6,56.0,48.5
36,Giannis Antetokounmpo,MIL,61,1.8,6.2,1.1,2.0,0.7,1.3,53.7,57.3,22.5,5.4,22.5,3.6,54.1,43.9
37,Isaiah Stewart,DET,50,2.0,17.7,1.18,2.4,0.8,1.4,55.6,61.8,23.5,7.8,21.6,2.9,57.8,60.1
38,Jayson Tatum,BOS,72,1.5,5.5,1.1,1.7,0.6,1.3,47.3,58.2,8.3,9.2,8.3,0.9,46.8,45.8
39,Nick Richards,CHA,62,1.4,20.9,1.32,1.9,0.7,1.1,64.7,64.7,27.3,6.8,27.3,11.4,65.9,82.2
40,Julius Randle,NYK,77,1.3,5.2,1.16,1.5,0.5,1.1,46.9,58.0,12.4,5.2,9.3,1.0,50.5,56.4
41,Moritz Wagner,ORL,54,1.8,18.8,1.11,2.0,0.7,1.4,50.0,54.7,20.4,9.2,20.4,5.1,53.1,47.7
42,Jalen Duren,DET,62,1.4,17.0,1.26,1.7,0.8,1.1,67.1,67.1,16.3,7.0,15.1,4.7,64.0,73.1
43,Jaren Jackson Jr.,MEM,59,1.5,9.1,1.23,1.8,0.6,1.1,53.7,60.4,22.7,6.8,22.7,5.7,58.0,69.2
44,Draymond Green,GSW,69,1.3,13.4,1.18,1.6,0.7,1.1,61.6,62.3,15.4,9.9,15.4,5.5,59.3,59.5
45,Drew Eubanks,POR,75,1.2,21.1,1.21,1.4,0.6,0.9,67.6,67.6,13.6,9.1,13.6,3.4,62.5,66.7
46,Andre Drummond,CHI,63,1.5,23.8,1.13,1.7,0.7,1.1,67.2,67.2,16.1,15.1,16.1,3.2,58.1,50.0
47,Jalen Smith,IND,66,1.8,18.7,0.91,1.6,0.6,1.4,39.8,46.2,12.9,8.6,13.8,2.6,41.4,21.6
48,Walker Kessler,UTA,73,1.1,14.5,1.29,1.4,0.6,0.9,68.1,68.1,11.5,2.6,11.5,2.6,66.7,79.5
49,Jock Landale,PHX,65,1.4,22.7,1.05,1.5,0.5,1.2,43.8,48.8,14.0,3.2,14.0,3.2,48.4,36.7
50,Wenyen Gabriel,LAL,63,1.0,19.1,1.42,1.4,0.6,0.9,70.9,71.8,14.5,4.8,12.9,8.1,69.4,93.2
51,Mike Muscala,OKC,43,1.5,27.0,1.33,2.0,0.7,1.4,50.8,66.1,6.3,0.0,6.3,0.0,54.0,85.7
52,Jakob Poeltl,TOR,21,3.5,29.6,1.15,4.0,1.8,2.8,63.8,63.8,16.4,9.6,16.4,5.5,58.9,54.9
53,LeBron James,LAL,50,1.4,4.9,1.22,1.7,0.7,1.2,58.1,62.9,8.8,4.4,7.4,4.4,57.4,68.6
54,Mo Bamba,ORL,40,1.5,23.3,1.28,1.9,0.7,1.2,53.1,65.3,16.7,8.3,16.7,6.7,51.7,78.0
55,Willy Hernangomez,NOP,39,1.7,25.9,1.17,2.0,0.6,1.2,55.6,56.7,27.3,7.6,24.2,3.0,60.6,58.4
56,Xavier Tillman,MEM,58,1.1,17.4,1.15,1.3,0.6,0.9,64.8,64.8,12.3,9.2,12.3,4.6,58.5,55.9
