,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Joel Embiid,PHI,60,6.8,23.5,1.21,8.2,2.9,5.0,57.3,60.3,20.6,9.8,20.1,4.4,58.3,65.2
1,Deandre Ayton,PHX,61,4.9,29.6,1.21,6.0,2.7,4.3,62.5,62.7,9.6,5.6,10.0,3.3,60.5,64.7
2,Nikola Vucevic,CHI,73,4.6,27.4,1.03,4.7,2.1,4.2,49.5,53.3,3.9,6.5,3.9,1.2,47.6,34.4
3,Bam Adebayo,MIA,69,4.3,21.1,1.14,4.9,2.0,3.6,55.5,55.5,12.8,5.4,12.8,2.0,56.8,49.0
4,Anthony Davis,LAL,48,4.7,20.2,1.28,6.0,2.4,3.9,62.6,63.9,14.3,4.9,14.3,2.7,62.9,76.3
5,Evan Mobley,CLE,73,3.5,22.1,1.11,3.9,1.6,2.7,58.5,60.0,17.3,10.6,16.5,4.3,56.1,45.8
6,Myles Turner,IND,62,3.5,22.9,1.24,4.4,1.6,2.9,55.3,60.9,16.4,5.5,16.0,3.7,58.0,69.2
7,Brook Lopez,MIL,71,2.9,20.7,1.29,3.7,1.5,2.6,56.1,64.4,8.9,3.4,8.9,4.4,56.2,77.4
8,Christian Wood,DAL,61,2.8,17.9,1.48,4.1,1.5,2.3,64.3,74.1,15.9,4.7,15.3,4.7,65.3,94.5
9,Alperen Sengun,HOU,67,3.2,21.6,1.13,3.6,1.4,2.5,57.1,58.5,16.5,8.5,15.1,5.2,55.7,47.8
10,Domantas Sabonis,SAC,71,2.5,14.7,1.31,3.3,1.4,2.1,66.7,68.0,18.2,6.6,17.7,6.1,64.6,79.4
11,Clint Capela,ATL,57,2.8,27.9,1.38,3.8,1.8,2.5,71.4,71.4,12.6,4.4,12.6,5.0,70.4,89.3
12,Nikola Jokic,DEN,65,2.4,11.5,1.39,3.3,1.4,2.1,68.4,72.8,9.0,6.4,9.0,2.6,64.7,89.7
13,Jarrett Allen,CLE,64,3.0,24.3,1.15,3.4,1.5,2.4,61.2,61.5,11.1,11.1,10.1,2.6,57.7,51.8
