,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Julius Randle,NYK,77,5.9,24.5,1.06,6.3,2.1,5.3,40.5,54.1,6.8,6.1,6.8,2.4,40.4,60.5
1,Trey Murphy III,NOP,74,5.0,44.3,1.16,5.8,1.9,4.7,41.7,57.7,4.6,2.7,4.3,0.3,43.1,78.6
2,Tim Hardaway Jr.,DAL,68,5.6,41.1,1.09,6.1,2.1,5.3,38.8,54.7,4.2,2.9,4.2,1.6,39.0,66.5
3,P.J. Washington,CHA,72,6.0,37.6,0.92,5.6,2.0,5.4,37.7,48.3,4.2,6.7,4.4,1.2,36.5,30.9
4,Buddy Hield,IND,75,4.3,28.1,1.21,5.2,1.8,4.0,44.9,63.2,1.5,5.5,1.5,0.3,43.1,87.7
5,Jerami Grant,POR,63,5.7,30.7,1.08,6.2,2.0,5.1,39.0,54.5,6.6,5.8,6.4,1.9,39.6,64.8
6,Kyle Kuzma,WAS,64,6.1,27.2,0.98,6.0,2.1,5.5,37.9,50.9,3.8,6.7,3.8,0.5,37.4,40.6
7,Max Strus,MIA,75,4.3,38.2,1.18,5.1,1.7,4.0,41.6,59.9,3.4,5.0,3.4,0.6,41.2,82.5
8,RJ Barrett,NYK,70,5.8,28.4,0.92,5.4,1.8,5.2,35.1,45.9,8.3,5.1,7.8,2.0,37.4,30.5
9,Michael Porter Jr.,DEN,59,5.1,34.6,1.24,6.4,2.3,4.8,47.5,64.0,3.6,4.0,3.6,1.0,46.9,91.6
10,Harrison Barnes,SAC,76,4.4,33.9,1.11,4.9,1.4,3.6,39.2,51.6,16.4,3.6,16.4,1.8,46.3,71.3
11,Lauri Markkanen,UTA,65,4.5,20.8,1.25,5.6,1.9,4.1,45.3,63.1,4.8,4.4,4.1,0.3,45.7,92.0
12,Jaylen Brown,BOS,65,5.4,20.9,1.05,5.6,2.0,4.6,44.6,54.5,9.8,8.6,9.2,4.0,43.4,57.7
13,Luguentz Dort,OKC,70,5.5,37.5,0.95,5.2,1.7,4.7,36.0,48.8,7.6,7.3,7.1,0.8,37.7,35.6
14,Keldon Johnson,SAS,61,5.9,27.3,1.01,6.0,2.0,5.2,38.5,49.5,10.0,5.5,10.0,3.3,39.9,46.9
15,Jaden McDaniels,MIN,74,5.0,44.8,0.97,4.9,1.8,4.3,42.0,53.2,5.1,11.5,4.8,1.6,38.9,38.4
16,Gary Trent Jr.,TOR,63,4.9,29.4,1.16,5.6,2.0,4.6,42.9,57.8,4.2,2.9,3.9,1.6,43.1,78.8
17,Jayson Tatum,BOS,71,4.1,14.8,1.21,4.9,1.6,3.5,45.1,59.8,10.7,6.2,10.7,2.1,46.9,88.3
18,Derrick White,BOS,77,3.9,35.6,1.15,4.5,1.5,3.8,41.2,56.7,4.6,2.0,4.9,2.0,41.8,78.0
19,Zach LaVine,CHI,72,3.9,17.0,1.24,4.8,1.7,3.3,51.7,65.8,9.3,9.3,9.3,1.8,50.5,91.8
20,Reggie Bullock,DAL,74,4.4,64.9,1.08,4.7,1.6,4.2,37.7,55.5,0.6,3.4,0.6,0.3,36.6,63.7
21,Patrick Williams,CHI,76,4.5,45.4,1.01,4.6,1.6,4.1,39.9,53.9,2.3,8.4,2.3,0.0,38.0,47.1
22,O.G. Anunoby,TOR,62,5.2,31.4,1.07,5.6,1.9,4.7,41.5,56.7,3.4,7.5,3.4,0.9,39.9,63.1
23,Marcus Morris Sr.,LAC,65,4.8,42.1,1.11,5.3,1.9,4.5,41.4,55.1,4.2,1.9,3.9,0.6,42.7,71.1
24,Quentin Grimes,NYK,66,4.7,49.4,1.09,5.2,1.8,4.2,42.0,58.7,2.9,8.6,3.2,0.0,39.9,66.7
25,Keegan Murray,SAC,74,3.9,35.6,1.18,4.6,1.6,3.7,43.2,61.3,1.4,4.9,1.4,0.7,41.5,82.7
26,Jabari Smith Jr.,HOU,74,4.9,36.1,0.92,4.5,1.6,4.5,36.1,47.3,4.9,5.2,4.7,0.5,36.7,29.8
27,Tyrese Maxey,PHI,57,5.0,27.2,1.18,5.9,2.1,4.6,45.4,59.4,6.0,4.2,6.0,1.8,45.4,82.3
28,Royce O'Neale,BKN,71,4.5,46.9,1.03,4.7,1.6,4.2,37.5,53.7,3.7,5.0,3.1,0.3,37.8,54.9
29,Tobias Harris,PHI,71,4.3,31.4,1.1,4.7,1.6,3.9,41.9,56.6,2.6,5.6,2.6,0.7,40.7,67.8
30,Kristaps Porzingis,WAS,65,4.7,22.9,1.08,5.1,1.7,4.1,41.4,53.4,8.9,5.9,7.9,2.3,42.8,64.6
31,Georges Niang,PHI,73,3.7,50.3,1.22,4.5,1.5,3.5,44.0,61.3,2.6,2.6,2.6,1.1,43.7,89.4
32,Coby White,CHI,68,4.0,44.3,1.18,4.8,1.6,3.8,43.6,60.3,3.3,4.0,2.9,0.7,42.9,82.9
33,Anthony Edwards,MIN,74,3.7,15.0,1.18,4.4,1.6,3.3,48.8,61.6,5.1,6.9,5.1,1.8,47.1,81.6
34,Corey Kispert,WAS,68,3.8,44.0,1.22,4.6,1.6,3.5,45.6,63.7,2.3,5.4,2.7,0.0,44.2,89.6
35,Damion Lee,PHX,71,3.8,48.6,1.17,4.4,1.5,3.4,44.6,61.2,3.7,6.3,3.7,0.4,43.7,81.2
36,De'Anthony Melton,PHI,73,3.7,35.6,1.14,4.2,1.4,3.5,40.6,57.4,3.3,3.3,3.3,0.7,40.8,76.7
37,Al Horford,BOS,61,3.8,45.5,1.31,4.9,1.7,3.7,46.0,66.1,1.7,0.4,1.3,0.0,46.7,95.2
38,Immanuel Quickley,NYK,76,3.6,26.7,1.1,3.9,1.3,3.2,41.5,54.7,5.6,4.1,4.8,0.7,42.6,68.0
39,Mikal Bridges,PHX,56,4.8,29.3,1.1,5.2,1.8,4.4,41.6,54.3,6.7,4.1,6.4,2.6,42.3,68.3
40,Grant Williams,BOS,74,3.6,45.9,1.09,3.9,1.3,3.2,42.1,57.7,5.6,7.1,4.9,1.1,41.4,67.4
