,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Luka Doncic,DAL,60,7.3,23.9,1.1,8.1,2.6,5.6,45.6,53.3,20.0,6.4,16.8,3.2,50.5,82.8
1,Shai Gilgeous-Alexander,OKC,64,6.5,23.4,1.06,6.9,2.3,4.9,45.7,47.3,21.0,6.5,18.7,2.9,52.3,79.0
2,Joel Embiid,PHI,61,6.5,22.6,1.03,6.7,2.3,4.9,47.5,48.3,19.0,9.5,18.1,3.3,51.3,73.5
3,Julius Randle,NYK,75,5.0,20.6,0.98,4.9,1.7,3.7,45.1,49.8,19.0,12.7,16.7,4.5,46.4,62.6
4,James Harden,PHI,53,6.2,30.1,1.11,6.9,1.9,4.7,41.0,49.4,22.0,7.0,21.0,5.2,47.0,84.5
5,Damian Lillard,POR,58,4.9,17.5,1.17,5.7,1.8,3.6,49.0,55.0,21.0,9.1,19.6,4.6,53.0,91.2
6,Anthony Edwards,MIN,72,4.4,17.7,0.96,4.2,1.6,3.8,42.6,49.5,7.0,6.7,6.7,1.3,42.2,60.1
7,Jayson Tatum,BOS,69,4.8,17.3,0.91,4.4,1.3,3.7,34.5,41.3,15.0,8.7,13.9,1.2,40.4,48.7
8,DeMar DeRozan,CHI,67,3.6,15.9,1.14,4.2,1.3,2.7,49.2,49.4,27.0,6.6,26.2,7.0,55.7,87.8
9,Pascal Siakam,TOR,65,3.9,16.2,0.98,3.8,1.4,3.0,47.5,48.2,15.0,7.9,13.1,2.0,50.4,63.3
10,Kyrie Irving,BKN,40,4.8,19.8,1.28,6.2,2.3,4.1,55.8,61.8,15.0,5.7,14.0,6.2,56.5,96.6
11,Spencer Dinwiddie,DAL,53,4.3,25.9,0.99,4.2,1.3,3.2,39.5,45.6,18.0,7.1,17.7,1.8,46.5,63.9
12,Dejounte Murray,ATL,68,3.5,16.4,0.93,3.2,1.3,2.9,43.4,46.4,9.0,9.7,9.3,1.7,43.5,54.2
13,Kevin Durant,BKN,39,5.4,21.6,1.02,5.6,2.0,4.2,48.5,50.6,13.0,12.3,12.3,2.4,48.1,71.8
14,Jalen Brunson,NYK,65,2.8,12.9,1.18,3.3,1.3,2.4,52.9,57.6,13.0,6.0,11.5,4.4,53.6,92.4
15,Trae Young,ATL,68,3.4,12.5,0.93,3.1,1.1,2.6,40.2,44.1,15.0,10.4,12.6,3.5,42.6,55.0
16,Zach LaVine,CHI,70,2.9,12.4,1.06,3.0,1.1,2.4,47.3,53.6,13.0,9.5,13.0,5.0,47.0,79.4
17,Giannis Antetokounmpo,MIL,59,4.1,13.7,0.83,3.4,1.2,3.0,40.7,41.0,18.0,11.7,17.5,4.6,43.3,33.6
18,De'Aaron Fox,SAC,66,2.6,11.0,1.11,2.9,1.1,2.1,52.6,55.5,16.0,7.1,15.9,4.1,53.5,83.6
19,Jimmy Butler,MIA,60,3.1,16.1,1.02,3.1,1.0,2.3,41.6,45.3,22.0,7.0,21.0,2.7,48.9,70.6
20,Kawhi Leonard,LAC,46,3.8,18.6,1.03,4.0,1.5,3.2,47.0,51.7,11.0,5.1,9.7,1.7,48.9,73.9
21,Paolo Banchero,ORL,68,3.1,14.5,0.85,2.7,0.9,2.3,37.3,39.6,22.0,8.5,20.7,4.7,42.7,37.4
22,Bam Adebayo,MIA,70,2.4,11.7,1.04,2.5,0.9,1.9,50.4,50.4,19.0,7.2,18.7,4.8,51.8,76.5
23,Paul George,LAC,56,3.4,14.5,0.91,3.1,1.1,2.7,42.1,46.1,11.0,10.1,8.5,1.6,43.1,51.3
24,Donovan Mitchell,CLE,64,2.4,9.5,1.11,2.6,0.9,2.0,44.4,54.4,13.0,7.9,11.9,4.6,45.7,84.0
