,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Domantas Sabonis,SAC,73,3.8,21.9,1.31,5.0,1.9,2.8,69.0,69.0,20.6,9.7,19.9,3.6,67.5,52.9
1,Jarrett Allen,CLE,65,4.0,32.4,1.38,5.4,2.3,3.3,70.7,70.7,14.8,4.7,14.8,3.9,68.9,67.4
2,Evan Mobley,CLE,75,3.2,20.3,1.47,4.7,2.1,2.8,73.3,73.3,15.0,2.5,15.0,5.4,73.3,83.8
3,Rudy Gobert,MIN,64,3.5,29.2,1.4,4.9,2.0,2.7,72.4,72.4,22.4,6.7,22.0,7.2,70.0,73.8
4,Nic Claxton,BKN,70,3.2,31.3,1.31,4.2,1.9,2.8,69.4,69.4,14.1,5.3,14.1,4.4,67.0,52.6
5,Bam Adebayo,MIA,71,3.2,15.8,1.21,3.9,1.7,2.7,61.5,61.5,11.8,4.8,11.8,2.2,60.5,33.1
6,Kevon Looney,GSW,77,2.6,43.2,1.27,3.3,1.4,2.2,64.7,64.7,18.7,3.4,18.2,4.4,66.5,44.1
7,Aaron Gordon,DEN,63,2.7,18.7,1.51,4.1,1.8,2.3,80.6,80.6,14.1,4.1,12.9,2.9,77.6,89.7
8,Deandre Ayton,PHX,62,3.0,17.9,1.27,3.8,1.7,2.6,63.8,63.8,9.7,5.4,9.2,3.2,62.7,45.0
9,Ivica Zubac,LAC,70,2.5,25.9,1.29,3.2,1.4,2.0,68.3,68.3,16.6,6.3,16.6,2.3,66.9,49.1
10,Kenyon Martin Jr.,HOU,76,1.9,17.3,1.46,2.8,1.2,1.6,74.8,74.8,17.2,5.5,17.2,7.6,72.4,81.8
11,Nikola Jokic,DEN,67,2.2,10.3,1.42,3.1,1.3,1.9,69.8,69.8,16.6,4.1,15.2,7.6,69.0,75.9
12,Walker Kessler,UTA,71,2.1,29.4,1.32,2.8,1.3,1.7,74.8,74.8,13.2,7.9,11.9,2.6,68.9,53.5
13,Clint Capela,ATL,60,2.4,23.3,1.39,3.3,1.5,2.1,72.4,72.4,8.5,2.8,8.5,1.4,70.9,71.8
14,Onyeka Okongwu,ATL,74,1.8,22.2,1.42,2.6,1.1,1.5,71.8,71.8,17.0,5.2,17.0,3.7,71.9,76.5
15,Jonas Valanciunas,NOP,73,2.0,14.9,1.29,2.6,1.1,1.7,66.1,66.1,13.4,7.4,12.8,2.0,65.1,48.5
16,Brook Lopez,MIL,73,1.8,12.7,1.38,2.4,1.0,1.5,69.7,69.7,17.2,4.7,17.2,7.0,68.8,69.7
17,Daniel Gafford,WAS,73,1.6,24.2,1.48,2.4,1.0,1.2,78.0,78.0,26.9,5.0,26.9,8.4,76.5,85.3
18,Mason Plumlee,CHA,56,2.3,21.3,1.38,3.1,1.2,1.6,75.3,75.3,28.3,6.3,27.6,4.7,73.2,67.6
19,Myles Turner,IND,62,1.9,12.4,1.46,2.8,1.1,1.5,73.7,73.7,21.0,5.0,20.2,5.9,73.1,82.1
20,Anthony Davis,LAL,49,2.4,10.5,1.47,3.5,1.5,2.0,73.0,73.0,16.9,3.4,16.1,5.1,73.7,82.6
21,Drew Eubanks,POR,73,1.8,34.8,1.28,2.4,1.1,1.6,66.4,66.4,8.1,5.2,8.1,1.5,64.4,46.5
22,Draymond Green,GSW,68,1.9,18.8,1.29,2.4,1.1,1.5,68.6,68.6,12.7,6.3,11.9,2.4,65.9,49.4
23,Lauri Markkanen,UTA,65,1.8,8.5,1.34,2.5,1.0,1.6,63.4,63.4,18.3,2.5,16.7,5.0,66.7,59.4
24,Scottie Barnes,TOR,71,1.9,11.5,1.16,2.2,0.9,1.6,56.0,56.0,14.6,5.1,14.6,4.4,56.9,24.1
25,Jimmy Butler,MIA,60,1.7,8.9,1.52,2.6,0.9,1.3,74.7,74.7,27.2,5.8,27.2,5.8,75.7,91.8
26,Brandon Clarke,MEM,56,2.2,26.8,1.27,2.8,1.3,1.9,66.7,66.7,14.6,3.3,14.6,3.3,63.4,44.4
27,Dwight Powell,DAL,71,1.5,27.0,1.45,2.2,0.9,1.2,75.3,75.3,24.3,2.8,24.3,6.5,73.8,81.2
