,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Joel Embiid,PHI,61,6.8,23.4,1.22,8.2,2.9,5.0,57.4,60.5,20.9,9.7,20.4,4.6,58.5,65.7
1,Deandre Ayton,PHX,61,4.9,29.6,1.21,6.0,2.4,4.0,62.5,62.7,9.6,5.6,10.0,3.3,60.5,64.8
2,Nikola Vucevic,CHI,73,4.6,27.4,1.03,4.7,1.9,4.0,49.5,53.3,3.9,6.5,3.9,1.2,47.6,34.6
3,Bam Adebayo,MIA,70,4.3,21.0,1.13,4.8,2.4,4.0,55.4,55.4,12.8,5.4,12.8,2.0,56.7,50.0
4,Anthony Davis,LAL,48,4.7,20.2,1.28,6.0,2.5,4.0,62.6,63.9,14.3,4.9,14.3,2.7,62.9,76.0
5,Evan Mobley,CLE,73,3.5,22.1,1.11,3.9,1.9,3.0,58.5,60.0,17.3,10.6,16.5,4.3,56.1,46.1
6,Myles Turner,IND,62,3.5,22.9,1.24,4.4,1.7,3.0,55.3,60.9,16.4,5.5,16.0,3.7,58.0,68.9
7,Brook Lopez,MIL,72,2.9,21.0,1.3,3.8,1.8,3.0,56.5,64.9,9.1,3.4,9.1,4.3,56.7,78.7
8,Christian Wood,DAL,61,2.8,17.9,1.48,4.1,1.2,2.0,64.3,74.1,15.9,4.7,15.3,4.7,65.3,94.5
9,Alperen Sengun,HOU,67,3.2,21.6,1.13,3.6,1.9,3.0,57.1,58.5,16.5,8.5,15.1,5.2,55.7,48.8
10,Domantas Sabonis,SAC,72,2.5,14.6,1.31,3.3,1.3,2.0,66.9,68.2,18.1,6.6,17.6,6.0,64.8,80.7
11,Clint Capela,ATL,58,2.8,27.7,1.37,3.8,1.3,2.0,71.4,71.4,13.0,5.0,13.0,5.0,70.2,89.0
12,Nikola Jokic,DEN,66,2.4,11.5,1.36,3.3,1.3,2.0,67.4,71.7,8.8,6.9,8.8,2.5,63.5,88.2
13,Jarrett Allen,CLE,64,3.0,24.3,1.15,3.4,1.1,2.0,61.2,61.5,11.1,11.1,10.1,2.6,57.7,52.8
14,Kristaps Porzingis,WAS,63,2.9,14.0,1.14,3.3,0.7,2.0,44.7,54.0,15.6,3.9,14.4,2.8,49.4,52.0
15,Nic Claxton,BKN,69,2.2,21.3,1.35,3.0,1.6,2.0,75.4,75.4,20.4,7.9,20.4,6.6,71.1,86.2
16,Jonas Valanciunas,NOP,71,2.6,18.7,1.05,2.7,0.8,2.0,48.8,52.1,7.7,3.3,7.7,1.1,50.5,36.2
17,Naz Reid,MIN,65,2.3,22.4,1.14,2.6,1.0,2.0,52.2,59.7,7.3,6.6,7.3,2.6,50.3,50.8
18,Dwight Powell,DAL,69,1.7,29.3,1.47,2.4,0.7,1.0,77.9,77.9,23.5,7.0,23.5,5.2,73.9,93.7
19,Rudy Gobert,MIN,62,2.2,18.5,1.24,2.7,1.5,2.0,68.7,68.7,25.0,8.1,24.3,5.9,66.9,70.1
20,Lauri Markkanen,UTA,64,2.0,9.1,1.32,2.6,1.2,2.0,52.3,62.1,15.2,3.2,12.8,4.0,56.0,81.9
21,Wendell Carter Jr.,ORL,51,2.8,19.0,1.15,3.2,0.9,2.0,55.4,61.6,7.0,8.5,7.0,1.4,52.8,52.4
22,Ivica Zubac,LAC,69,1.9,19.2,1.24,2.3,0.6,1.0,66.7,66.7,19.5,10.9,18.8,3.1,64.1,69.7
23,Onyeka Okongwu,ATL,72,1.7,20.9,1.25,2.1,0.5,1.0,65.0,65.0,16.3,8.9,15.4,6.5,61.8,72.4
24,Daniel Gafford,WAS,72,1.6,24.0,1.33,2.1,0.6,1.0,70.3,70.3,18.3,7.0,18.3,4.3,66.1,82.7
25,P.J. Washington,CHA,70,1.6,10.3,1.26,2.0,0.3,1.0,54.5,61.9,10.6,1.8,8.8,1.8,57.5,74.0
26,Brandon Clarke,MEM,56,1.8,21.8,1.4,2.5,1.5,2.0,67.4,67.4,18.0,3.0,17.0,10.0,68.0,90.5
27,Bobby Portis,MIL,63,1.8,13.9,1.16,2.1,1.2,2.0,50.0,59.6,6.0,6.0,6.0,2.6,48.3,55.1
28,Zach Collins,SAS,59,2.2,19.5,1.03,2.3,0.9,2.0,46.6,53.8,6.9,5.4,6.9,3.1,46.2,35.0
29,Jusuf Nurkic,POR,52,2.2,16.6,1.14,2.5,1.3,2.0,56.2,58.4,23.3,12.9,23.3,12.9,53.4,50.4
30,Thomas Bryant,LAL,41,2.4,25.8,1.35,3.2,1.3,2.0,65.9,67.7,16.5,4.1,16.5,5.2,64.9,87.4
31,Isaiah Jackson,IND,56,2.0,30.1,1.16,2.3,1.3,2.0,54.3,54.3,21.8,1.8,20.9,7.3,60.0,54.3
32,Mason Plumlee,CHA,56,1.9,17.8,1.19,2.3,0.5,1.0,62.3,62.3,28.3,7.5,27.4,8.5,61.3,62.2
33,John Collins,ATL,64,1.6,13.2,1.22,1.9,0.4,1.0,55.2,59.2,12.7,4.9,12.7,2.9,56.9,65.4
34,Kenyon Martin Jr.,HOU,74,1.4,12.3,1.23,1.7,0.6,1.0,62.7,64.0,21.0,9.0,20.0,5.0,61.0,67.7
35,Jakob Poeltl,SAS,46,2.4,20.2,1.12,2.7,1.2,2.0,61.1,61.1,12.8,9.2,12.8,4.6,56.0,46.9
36,Giannis Antetokounmpo,MIL,59,1.9,6.3,1.11,2.1,0.4,1.0,54.3,58.0,22.7,5.5,22.7,3.6,54.5,45.1
37,Isaiah Stewart,DET,50,2.0,17.7,1.18,2.4,0.4,1.0,55.6,61.8,23.5,7.8,21.6,2.9,57.8,59.7
38,Jayson Tatum,BOS,69,1.6,5.6,1.08,1.7,0.3,1.0,46.1,57.3,8.4,9.3,8.4,0.9,45.8,42.1
39,Nick Richards,CHA,60,1.4,20.9,1.33,1.9,0.6,1.0,64.2,64.2,27.1,5.9,27.1,11.8,65.9,82.3
40,Julius Randle,NYK,75,1.3,5.3,1.16,1.5,0.4,1.0,46.9,58.0,12.4,5.2,9.3,1.0,50.5,54.7
41,Moritz Wagner,ORL,51,1.9,19.1,1.1,2.1,0.3,1.0,49.3,54.1,20.6,9.3,20.6,5.2,52.6,44.1
42,Drew Eubanks,POR,71,1.2,22.4,1.29,1.5,0.7,1.0,72.7,72.7,14.6,8.5,14.6,3.7,67.1,78.0
43,Andre Drummond,CHI,60,1.5,25.0,1.14,1.8,0.7,1.0,68.2,68.2,16.3,15.2,16.3,3.3,58.7,51.2
44,Jalen Duren,DET,59,1.4,17.3,1.27,1.8,0.6,1.0,68.2,68.2,17.1,7.3,15.9,4.9,64.6,74.8
45,Jaren Jackson Jr.,MEM,56,1.5,9.0,1.23,1.8,0.5,1.0,52.4,59.5,24.1,6.0,24.1,6.0,57.8,67.3
46,Draymond Green,GSW,66,1.3,13.2,1.2,1.5,0.6,1.0,61.4,62.1,15.3,8.2,15.3,5.9,60.0,63.9
47,Jock Landale,PHX,65,1.4,22.7,1.05,1.5,0.3,1.0,43.8,48.8,14.0,3.2,14.0,3.2,48.4,37.4
48,Walker Kessler,UTA,70,1.0,14.5,1.31,1.4,0.7,1.0,69.2,69.2,11.0,2.7,11.0,2.7,67.1,81.5
49,Jalen Smith,IND,63,1.7,18.4,0.9,1.5,0.2,1.0,39.1,45.4,12.1,7.5,13.1,1.9,41.1,22.8
50,Wenyen Gabriel,LAL,60,1.0,19.5,1.42,1.5,0.7,1.0,70.9,71.8,14.5,4.8,12.9,8.1,69.4,92.1
51,Mike Muscala,OKC,43,1.5,27.0,1.33,2.0,0.3,1.0,50.8,66.1,6.3,0.0,6.3,0.0,54.0,85.1
52,LeBron James,LAL,47,1.4,5.0,1.23,1.7,0.5,1.0,58.3,63.3,9.1,4.5,7.6,4.5,57.6,66.4
53,Mo Bamba,ORL,40,1.5,23.3,1.28,1.9,0.4,1.0,53.1,65.3,16.7,8.3,16.7,6.7,51.7,76.4
54,Willy Hernangomez,NOP,38,1.7,26.2,1.17,2.0,0.5,1.0,55.6,56.7,27.3,7.6,24.2,3.0,60.6,57.6
