,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Giannis Antetokounmpo,MIL,59,8.1,27.3,1.17,9.5,3.2,5.3,60.0,61.6,32.4,10.5,30.8,7.9,60.5,58.2
1,Shai Gilgeous-Alexander,OKC,64,6.0,21.7,1.25,7.6,2.4,4.3,56.0,59.5,24.6,8.0,22.0,3.9,60.6,75.9
2,Jaylen Brown,BOS,63,5.8,22.5,1.26,7.3,2.8,4.5,62.0,66.9,15.9,9.6,15.7,3.8,60.2,76.6
3,De'Aaron Fox,SAC,66,5.5,23.5,1.18,6.5,2.4,4.0,60.0,62.6,20.1,11.8,18.7,5.2,56.9,61.5
4,LeBron James,LAL,48,7.0,25.2,1.19,8.4,3.1,5.0,62.0,65.0,21.1,13.4,19.9,5.6,59.1,64.1
5,Anthony Edwards,MIN,72,5.2,21.2,1.05,5.5,1.9,3.7,53.0,58.7,17.8,18.1,17.3,6.1,48.4,32.4
6,Zach LaVine,CHI,70,4.5,19.6,1.21,5.5,1.9,3.2,57.0,62.3,19.9,10.4,19.9,3.5,57.3,67.2
7,Buddy Hield,IND,75,4.0,25.7,1.23,4.9,1.8,3.6,51.0,66.3,2.7,8.1,2.0,0.3,47.7,72.4
8,Jayson Tatum,BOS,69,4.2,15.1,1.27,5.3,1.8,3.1,59.0,64.2,20.4,10.4,20.1,4.2,59.2,77.5
9,Trae Young,ATL,68,5.1,19.0,1.0,5.1,1.6,3.5,45.0,51.0,18.9,14.3,14.3,2.3,47.0,24.3
10,Jordan Poole,GSW,76,4.1,19.6,1.11,4.6,1.6,3.0,53.0,59.3,15.7,14.1,13.1,2.6,51.6,44.4
11,Ja Morant,MEM,56,5.4,19.8,1.14,6.1,2.3,3.8,60.0,63.3,17.3,15.3,15.3,4.3,55.5,51.0
12,Donovan Mitchell,CLE,64,4.4,17.8,1.18,5.2,2.0,3.6,56.0,63.0,11.0,11.3,8.5,3.9,52.3,61.1
13,Bennedict Mathurin,IND,71,3.9,24.1,1.2,4.7,1.5,2.7,54.0,60.8,24.6,10.5,23.9,4.0,57.2,65.4
14,Desmond Bane,MEM,52,5.3,27.4,1.17,6.3,2.3,4.6,50.0,61.0,9.7,8.7,9.0,4.0,48.7,59.3
15,Pascal Siakam,TOR,65,4.0,16.7,1.2,4.8,1.7,2.8,61.0,64.1,21.5,11.9,20.4,4.6,59.2,65.6
16,Trey Murphy III,NOP,71,3.1,27.3,1.4,4.3,1.6,2.7,60.0,71.7,9.2,6.5,8.8,2.8,59.0,90.2
17,O.G. Anunoby,TOR,61,4.0,24.1,1.25,5.0,1.9,3.2,60.0,66.1,12.0,10.3,11.2,3.3,56.6,75.1
18,Terry Rozier,CHA,64,4.5,20.2,1.05,4.7,1.8,3.6,48.0,54.7,11.9,9.8,11.2,3.5,47.7,31.1
19,Paolo Banchero,ORL,68,4.0,18.8,1.07,4.3,1.4,2.6,53.0,55.3,26.2,13.8,24.7,6.5,54.2,36.1
20,RJ Barrett,NYK,68,4.1,20.1,1.04,4.3,1.6,3.1,51.0,55.5,17.7,10.6,18.1,2.8,51.1,30.6
21,Gary Trent Jr.,TOR,63,3.9,23.8,1.18,4.6,1.6,3.4,47.0,57.0,11.7,3.2,10.5,1.2,51.4,61.3
22,Kyle Kuzma,WAS,64,4.2,18.7,1.08,4.5,1.8,3.2,56.0,61.9,9.7,15.7,9.7,2.2,49.3,38.3
23,Lauri Markkanen,UTA,64,3.5,16.3,1.28,4.5,1.6,2.7,60.0,66.2,16.4,10.2,15.1,3.6,57.8,79.4
24,Franz Wagner,ORL,74,2.9,16.0,1.35,3.9,1.3,2.2,60.0,69.9,17.1,7.6,16.1,3.3,59.7,87.1
25,Julius Randle,NYK,75,3.5,14.5,1.06,3.7,1.4,2.7,51.0,56.4,15.0,13.2,15.0,5.3,48.5,33.0
26,Tyrese Maxey,PHI,55,3.5,19.3,1.43,5.1,1.9,3.0,63.0,70.6,18.0,5.2,16.5,7.2,63.4,92.1
27,Klay Thompson,GSW,64,3.6,17.4,1.2,4.3,1.6,3.2,50.0,63.3,3.5,7.0,3.0,0.4,47.8,66.1
28,Keldon Johnson,SAS,61,3.9,18.1,1.13,4.5,1.7,3.3,53.0,59.5,15.4,8.3,14.6,6.7,51.3,49.5
29,Fred VanVleet,TOR,63,3.8,19.0,1.1,4.2,1.3,3.0,43.0,53.2,15.9,7.9,13.4,2.5,47.3,43.3
30,Jerami Grant,POR,63,3.1,16.4,1.35,4.1,1.5,2.3,63.0,70.3,19.2,7.3,20.2,4.7,62.7,86.9
31,Josh Giddey,OKC,70,3.6,20.4,1.02,3.7,1.6,2.9,56.0,57.7,8.6,17.3,8.6,4.7,47.8,27.6
32,Michael Porter Jr.,DEN,57,3.3,22.2,1.37,4.5,1.5,2.7,56.0,71.8,13.3,8.0,12.8,4.3,55.3,88.4
33,CJ McCollum,NOP,67,3.9,17.7,1.0,3.9,1.4,3.3,44.0,53.7,6.9,9.7,6.2,0.8,43.2,24.1
34,Devin Booker,PHX,47,4.6,18.0,1.18,5.5,2.1,3.8,54.0,61.0,13.4,8.3,11.1,3.7,54.4,63.0
35,Jaden Ivey,DET,66,4.0,22.3,0.98,3.9,1.3,2.6,49.0,53.3,22.8,15.6,20.5,3.0,50.2,21.4
36,Tyrese Haliburton,IND,56,3.4,18.0,1.34,4.5,1.7,2.7,63.0,75.7,8.4,15.8,7.9,4.2,54.7,85.6
37,Bojan Bogdanovic,DET,59,3.6,18.6,1.19,4.3,1.5,2.8,53.0,62.0,14.2,10.4,11.8,1.9,53.3,64.6
38,Dejounte Murray,ATL,68,3.2,15.3,1.15,3.7,1.5,2.5,59.0,64.2,10.0,14.1,9.5,2.7,52.7,52.6
39,Bam Adebayo,MIA,70,3.1,15.2,1.17,3.6,1.3,2.1,61.0,61.0,22.8,13.0,21.9,5.6,58.6,58.4
40,Malik Monk,SAC,71,3.2,23.8,1.11,3.5,1.3,2.5,50.0,58.9,10.7,12.4,9.3,2.7,47.6,44.0
41,Tobias Harris,PHI,69,2.5,18.6,1.39,3.5,1.4,2.2,67.0,74.3,8.0,8.6,7.5,2.9,62.1,89.5
42,Jalen Brunson,NYK,65,2.7,12.6,1.36,3.7,1.2,2.1,59.0,66.4,21.9,7.3,18.0,6.2,60.1,87.5
43,Bruce Brown,DEN,73,2.5,22.7,1.32,3.3,1.4,2.1,66.0,70.4,9.8,9.8,8.2,2.7,61.7,83.2
44,Kenyon Martin Jr.,HOU,75,2.6,23.6,1.22,3.2,1.3,2.0,67.0,67.4,16.4,8.7,15.9,2.6,62.1,69.6
45,Stephen Curry,GSW,50,3.9,15.5,1.2,4.7,1.6,3.0,53.0,65.1,10.7,13.3,10.2,2.0,50.0,65.9
46,De'Andre Hunter,ATL,64,2.8,18.8,1.3,3.7,1.3,2.3,58.0,66.1,14.9,6.6,13.8,3.9,58.6,81.2
47,Harrison Barnes,SAC,74,2.8,21.3,1.15,3.2,1.0,2.2,48.0,56.6,16.6,7.8,16.1,2.9,50.7,53.3
48,Mikal Bridges,PHX,56,3.4,21.0,1.2,4.1,1.4,2.8,52.0,60.6,13.1,7.9,13.6,2.6,52.9,65.0
