,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Giannis Antetokounmpo,MIL,63,8.0,27.2,1.16,9.3,3.1,5.2,60.0,61.5,31.6,11.0,30.2,8.1,59.8,55.6
1,Shai Gilgeous-Alexander,OKC,67,6.1,21.8,1.25,7.6,2.4,4.3,56.0,59.0,25.1,8.1,22.1,3.9,60.4,76.3
2,Jaylen Brown,BOS,66,5.8,22.9,1.25,7.3,2.9,4.6,63.0,66.9,15.3,9.8,15.0,3.6,60.1,75.4
3,De'Aaron Fox,SAC,71,5.5,23.5,1.2,6.6,2.5,4.1,60.0,63.4,20.0,11.3,18.7,5.4,57.7,66.4
4,Anthony Edwards,MIN,77,5.3,21.3,1.07,5.6,2.0,3.8,53.0,59.2,18.3,17.0,17.8,6.7,49.1,36.0
5,Zach LaVine,CHI,75,4.6,19.8,1.25,5.7,2.0,3.3,60.0,64.9,19.6,10.5,19.6,4.1,58.8,74.3
6,LeBron James,LAL,52,6.8,24.5,1.2,8.1,3.0,4.9,62.0,65.2,21.0,13.4,19.9,6.3,59.1,66.2
7,Jayson Tatum,BOS,73,4.2,15.3,1.26,5.3,1.8,3.1,58.0,63.7,19.9,10.1,19.2,3.9,58.6,77.8
8,Buddy Hield,IND,77,4.0,26.0,1.23,4.9,1.8,3.6,50.0,66.1,3.3,8.1,2.6,0.7,47.6,72.4
9,Jordan Poole,GSW,80,4.2,19.9,1.13,4.7,1.6,3.0,54.0,60.5,16.2,14.1,13.8,2.7,52.7,50.8
10,Ja Morant,MEM,60,5.4,20.0,1.15,6.2,2.3,3.9,60.0,64.0,17.0,15.1,14.8,4.0,55.6,55.2
11,Donovan Mitchell,CLE,68,4.6,18.0,1.19,5.4,2.1,3.6,56.0,63.3,12.9,11.3,10.3,4.2,53.5,63.9
12,Desmond Bane,MEM,56,5.6,28.2,1.19,6.6,2.5,4.8,52.0,62.1,8.7,8.4,8.0,3.5,49.8,62.9
13,Trae Young,ATL,71,5.1,19.0,0.98,5.0,1.6,3.5,45.0,50.6,18.5,15.2,13.8,2.2,46.3,20.9
14,Bennedict Mathurin,IND,75,3.9,23.8,1.19,4.6,1.4,2.7,53.0,59.9,24.1,10.3,23.4,3.8,56.7,63.4
15,Pascal Siakam,TOR,69,4.1,17.0,1.21,4.9,1.8,2.9,62.0,64.9,20.7,11.8,19.6,4.3,60.0,69.9
16,Trey Murphy III,NOP,76,3.1,27.3,1.4,4.4,1.6,2.7,60.0,71.1,10.6,5.9,9.7,3.0,59.3,91.2
17,O.G. Anunoby,TOR,65,4.0,24.2,1.26,5.0,1.9,3.2,60.0,66.5,11.7,10.1,10.9,3.1,57.2,77.6
18,Paolo Banchero,ORL,72,4.1,18.8,1.07,4.4,1.4,2.7,53.0,55.2,27.3,13.0,25.9,6.8,54.6,37.9
19,Tyrese Maxey,PHI,60,3.5,19.4,1.43,5.0,1.8,2.9,62.0,70.2,18.6,5.2,17.1,7.6,62.9,93.1
20,RJ Barrett,NYK,71,4.1,19.9,1.03,4.2,1.5,3.0,51.0,55.1,17.9,10.7,18.2,2.7,50.9,30.8
21,Franz Wagner,ORL,78,2.9,16.2,1.32,3.8,1.3,2.3,58.0,68.0,16.4,7.6,15.6,3.1,58.2,85.1
22,Terry Rozier,CHA,64,4.5,20.2,1.05,4.7,1.8,3.6,48.0,54.7,11.9,9.8,11.2,3.5,47.7,31.7
23,Lauri Markkanen,UTA,66,3.5,16.3,1.26,4.5,1.6,2.7,58.0,64.9,16.7,10.7,15.4,3.4,56.8,77.4
24,Gary Trent Jr.,TOR,63,3.9,23.8,1.18,4.6,1.6,3.4,47.0,57.0,11.7,3.2,10.5,1.2,51.4,61.4
25,Klay Thompson,GSW,67,3.7,17.8,1.17,4.3,1.6,3.3,49.0,61.7,3.2,7.3,2.8,0.4,46.6,59.9
26,Kyle Kuzma,WAS,64,4.2,18.7,1.08,4.5,1.8,3.2,56.0,61.9,9.7,15.7,9.7,2.2,49.3,39.7
27,Julius Randle,NYK,77,3.5,14.6,1.06,3.8,1.4,2.7,51.0,56.9,14.7,13.2,14.7,5.1,48.5,34.8
28,Josh Giddey,OKC,75,3.7,20.3,1.03,3.8,1.6,2.9,56.0,58.0,9.1,16.3,9.1,4.3,48.9,30.4
29,Jaden Ivey,DET,71,4.0,22.0,1.0,4.0,1.3,2.5,50.0,54.7,22.8,16.5,20.4,2.8,50.5,23.5
30,Michael Porter Jr.,DEN,62,3.3,22.4,1.36,4.5,1.5,2.7,55.0,71.5,13.1,8.3,12.6,3.9,54.9,88.4
31,Devin Booker,PHX,52,4.7,18.4,1.14,5.3,2.0,3.8,53.0,59.3,12.7,10.2,10.6,3.7,51.8,51.7
32,Keldon Johnson,SAS,62,3.9,17.9,1.14,4.4,1.7,3.2,54.0,59.8,15.4,8.3,14.5,6.6,51.5,52.4
