,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Luka Doncic,DAL,61,7.3,24.1,1.1,8.1,2.6,5.7,45.5,53.2,19.9,6.3,16.7,3.1,50.4,84.2
1,Shai Gilgeous-Alexander,OKC,64,6.5,23.4,1.06,6.9,2.3,4.9,45.7,47.3,20.9,6.5,18.7,2.9,52.3,79.2
2,Joel Embiid,PHI,61,6.5,22.6,1.03,6.7,2.3,4.9,47.5,48.3,19.1,9.5,18.1,3.3,51.3,74.2
3,Julius Randle,NYK,76,5.0,20.5,0.98,4.9,1.6,3.7,44.6,49.3,18.4,12.6,16.6,4.5,46.1,62.9
4,James Harden,PHI,53,6.2,30.1,1.11,6.9,1.9,4.7,41.0,49.4,21.6,7.0,21.0,5.2,47.0,84.6
5,Damian Lillard,POR,58,4.9,17.5,1.17,5.7,1.8,3.6,49.0,55.0,21.4,9.1,19.6,4.6,53.0,91.3
6,Anthony Edwards,MIN,73,4.4,17.7,0.96,4.2,1.6,3.8,42.7,49.5,6.9,6.6,6.9,1.3,42.5,60.8
7,Jayson Tatum,BOS,70,4.8,17.2,0.9,4.3,1.3,3.7,34.4,41.1,14.7,9.0,13.8,1.2,40.1,49.2
8,DeMar DeRozan,CHI,68,3.6,15.8,1.15,4.1,1.3,2.6,49.4,50.0,26.9,6.5,26.1,6.9,55.9,88.3
9,Pascal Siakam,TOR,66,3.8,16.0,0.98,3.8,1.4,3.0,47.5,48.2,15.7,8.3,13.4,2.0,50.4,64.6
10,Kyrie Irving,BKN,40,4.8,19.8,1.28,6.2,2.3,4.1,55.8,61.8,15.0,5.7,14.0,6.2,56.5,96.3
11,Spencer Dinwiddie,DAL,53,4.3,25.9,0.99,4.2,1.3,3.2,39.5,45.6,18.1,7.1,17.7,1.8,46.5,65.0
12,Dejounte Murray,ATL,69,3.5,16.4,0.93,3.2,1.2,2.9,43.2,46.2,9.2,9.6,9.2,1.7,43.3,55.4
13,Kevin Durant,BKN,39,5.4,21.6,1.02,5.6,2.0,4.2,48.5,50.6,13.2,12.3,12.3,2.4,48.1,71.7
14,Jalen Brunson,NYK,65,2.8,12.9,1.18,3.3,1.3,2.4,52.9,57.6,12.6,6.0,11.5,4.4,53.6,92.1
15,Zach LaVine,CHI,71,2.8,12.3,1.06,3.0,1.1,2.3,47.0,53.3,13.4,9.4,13.4,5.0,47.0,79.6
16,Trae Young,ATL,69,3.3,12.4,0.93,3.1,1.0,2.6,40.2,44.1,15.2,10.8,12.6,3.5,42.4,56.3
17,Giannis Antetokounmpo,MIL,59,4.1,13.7,0.83,3.4,1.2,3.0,40.7,41.0,18.3,11.7,17.5,4.6,43.3,33.8
18,De'Aaron Fox,SAC,67,2.6,10.9,1.12,2.9,1.1,2.1,53.2,56.1,16.3,7.0,15.7,4.1,54.1,85.0
19,Jimmy Butler,MIA,60,3.1,16.1,1.02,3.1,1.0,2.3,41.6,45.3,21.5,7.0,21.0,2.7,48.9,70.8
20,Paolo Banchero,ORL,69,3.2,14.7,0.84,2.7,0.9,2.3,37.5,40.0,21.5,9.6,20.5,4.6,42.5,35.8
21,Kawhi Leonard,LAC,47,3.8,18.6,1.03,3.9,1.5,3.2,46.7,51.3,11.2,5.0,9.5,1.7,48.6,72.9
22,Bam Adebayo,MIA,71,2.4,11.9,1.04,2.5,1.0,1.9,50.4,50.4,18.7,7.0,18.7,4.7,52.0,76.3
23,Paul George,LAC,56,3.4,14.5,0.91,3.1,1.1,2.7,42.1,46.1,10.6,10.1,8.5,1.6,43.1,52.1
24,Donovan Mitchell,CLE,65,2.4,9.4,1.09,2.6,0.9,2.0,43.4,53.1,13.0,7.8,11.7,4.5,44.8,82.9
25,Jalen Green,HOU,70,2.6,11.4,0.92,2.4,0.8,2.2,38.4,44.4,15.3,7.1,13.7,4.9,42.1,54.6
26,LeBron James,LAL,48,4.1,14.9,0.82,3.4,1.3,3.7,35.0,38.1,10.1,4.0,9.5,3.0,38.2,31.3
27,Russell Westbrook,LAL,52,3.9,19.9,0.77,3.0,1.2,3.2,37.3,39.2,13.3,8.9,12.3,3.9,37.4,25.8
28,Anfernee Simons,POR,62,2.8,14.0,0.89,2.5,0.9,2.3,39.0,41.8,13.2,10.3,11.5,4.6,40.2,45.4
29,Devin Booker,PHX,48,3.5,13.7,0.91,3.2,1.1,2.8,41.0,42.9,13.6,9.5,13.0,2.4,43.8,50.4
30,Jaylen Brown,BOS,64,2.5,9.9,0.93,2.4,0.9,2.1,43.4,47.8,10.4,9.2,10.4,3.1,42.9,57.1
31,Kevin Porter Jr.,HOU,54,2.9,14.7,0.96,2.8,0.9,2.4,36.2,43.8,14.6,5.7,12.7,3.2,41.4,60.4
32,Bradley Beal,WAS,50,3.3,14.8,0.89,2.9,1.2,2.6,43.9,47.0,9.1,13.3,7.9,2.4,41.2,45.0
33,Zion Williamson,NOP,29,4.2,18.1,1.16,4.9,1.7,2.8,60.5,60.5,23.0,16.4,19.7,5.7,57.4,88.8
34,Ja Morant,MEM,56,2.9,10.8,0.83,2.4,0.8,2.3,34.9,36.5,22.0,7.3,20.7,6.1,40.9,35.4
35,Jordan Clarkson,UTA,61,2.1,9.9,1.05,2.2,0.8,1.5,51.6,56.5,14.7,17.1,13.2,3.9,48.1,77.1
36,Jamal Murray,DEN,61,1.9,9.7,1.0,1.9,0.7,1.7,42.7,50.0,6.8,5.1,6.8,0.0,44.4,68.6
37,Scottie Barnes,TOR,71,1.9,11.1,0.83,1.5,0.6,1.5,41.3,42.7,7.6,11.4,6.8,1.5,40.2,32.5
38,Darius Garland,CLE,66,2.3,10.7,0.73,1.7,0.6,1.8,31.7,35.4,12.1,10.7,9.4,3.4,33.6,20.0
39,Caris LeVert,CLE,72,1.5,12.2,0.98,1.5,0.5,1.2,41.7,48.2,18.2,10.0,18.2,4.5,43.6,64.2
40,Spencer Dinwiddie,BKN,20,4.4,23.8,1.16,5.1,1.9,3.7,51.4,55.4,15.9,5.7,15.9,5.7,52.3,89.6
41,Bojan Bogdanovic,DET,59,1.7,9.1,0.97,1.7,0.6,1.4,42.7,48.2,13.6,8.7,8.7,1.9,44.7,62.1
42,Collin Sexton,UTA,47,1.6,12.4,1.29,2.1,0.8,1.2,64.9,69.3,19.5,13.0,16.9,6.5,61.0,97.1
43,Kyle Kuzma,WAS,64,1.8,8.0,0.86,1.5,0.5,1.4,37.9,46.0,10.4,13.9,8.7,0.0,39.1,39.6
44,Cam Thomas,BKN,53,1.8,17.0,1.03,1.8,0.6,1.4,44.7,50.7,15.1,7.5,12.9,4.3,47.3,73.8
45,Brandon Ingram,NOP,39,2.7,11.2,0.91,2.5,1.0,2.4,42.4,42.4,13.3,4.8,11.4,5.7,43.8,52.7
46,Tyrese Haliburton,IND,56,1.9,10.0,0.91,1.7,0.6,1.5,37.2,42.4,14.3,8.6,13.3,4.8,40.0,52.7
47,Jerami Grant,POR,63,1.9,10.0,0.82,1.5,0.6,1.5,41.3,41.3,12.8,11.1,10.3,2.6,42.7,31.7
48,Bennedict Mathurin,IND,72,1.4,8.9,0.9,1.3,0.4,1.1,35.5,43.4,17.3,11.5,15.4,2.9,40.4,49.6
49,Terry Rozier,CHA,64,1.6,7.4,0.89,1.5,0.5,1.5,36.6,42.5,7.7,3.8,5.8,1.0,39.4,46.7
50,Jaden Ivey,DET,67,1.6,9.0,0.86,1.4,0.5,1.1,40.3,43.5,19.4,13.0,17.6,3.7,41.7,40.2
51,Christian Wood,DAL,63,1.7,11.3,0.85,1.5,0.6,1.4,40.9,43.2,12.8,11.9,12.8,5.5,39.4,37.9
52,Kyrie Irving,DAL,16,4.7,20.7,1.21,5.7,1.9,3.9,48.4,54.8,18.7,4.0,18.7,5.3,53.3,93.8
53,Jrue Holiday,MIL,62,2.0,10.6,0.73,1.5,0.6,1.7,34.3,37.0,6.4,8.8,5.6,1.6,34.4,19.6
54,Jordan Poole,GSW,77,1.4,6.6,0.85,1.2,0.4,1.0,34.2,40.5,13.2,14.2,11.3,1.9,36.8,37.1
55,Immanuel Quickley,NYK,75,1.2,9.0,1.0,1.2,0.4,1.0,39.7,46.2,14.6,4.5,14.6,6.7,42.7,68.6
56,Stephen Curry,GSW,51,1.6,6.4,1.06,1.7,0.7,1.4,49.3,55.6,8.4,10.8,6.0,4.8,45.8,80.0
57,Kristaps Porzingis,WAS,65,1.1,5.6,1.15,1.3,0.5,0.9,52.5,54.2,17.6,8.1,17.6,5.4,54.1,87.9
58,Dennis Schroder,LAL,61,1.5,10.9,0.95,1.4,0.4,1.0,38.1,40.5,22.5,11.2,12.4,4.5,44.9,59.2
59,RJ Barrett,NYK,69,1.3,6.4,0.93,1.2,0.4,0.9,43.8,46.9,18.7,14.3,18.7,3.3,46.2,57.9
60,CJ McCollum,NOP,69,1.6,7.3,0.76,1.2,0.4,1.2,36.5,38.8,9.2,12.8,8.3,0.0,36.7,23.8
61,Fred VanVleet,TOR,64,1.4,7.1,0.89,1.3,0.4,1.1,37.1,40.7,14.4,8.9,11.1,1.1,42.2,45.8
62,Marcus Morris Sr.,LAC,65,1.4,12.7,0.86,1.2,0.6,1.3,43.9,44.5,4.3,8.6,4.3,1.1,41.9,39.2
63,Anthony Davis,LAL,49,1.8,7.8,0.91,1.6,0.7,1.5,44.0,44.0,10.3,6.9,9.2,3.4,44.8,50.8
64,Malcolm Brogdon,BOS,63,1.2,9.1,1.01,1.2,0.5,1.0,46.8,50.0,13.2,7.9,13.2,2.6,48.7,70.4
65,Tobias Harris,PHI,70,1.0,7.7,1.03,1.1,0.4,0.8,50.0,54.3,9.6,12.3,9.6,1.4,47.9,72.5
66,Lauri Markkanen,UTA,65,1.0,4.5,1.16,1.1,0.3,0.7,43.5,47.8,28.1,3.1,23.4,3.1,56.3,89.2
67,Harrison Barnes,SAC,75,0.8,5.9,1.22,0.9,0.3,0.5,52.6,55.3,31.0,8.6,27.6,5.2,60.3,94.6
68,Killian Hayes,DET,69,1.4,10.9,0.68,1.0,0.4,1.2,34.1,35.3,6.0,10.0,6.0,1.0,34.0,13.8
69,Aaron Gordon,DEN,63,1.2,8.5,0.86,1.0,0.3,0.8,44.9,46.9,23.4,15.6,23.4,3.9,45.5,38.5
70,Jalen Williams,OKC,70,0.9,6.9,1.03,0.9,0.3,0.6,54.5,55.7,12.7,17.5,12.7,0.0,50.8,73.3
71,Tyrese Maxey,PHI,56,1.3,7.1,0.86,1.1,0.4,1.1,37.7,44.3,6.8,9.6,6.8,0.0,38.4,41.3
72,Nikola Jokic,DEN,67,1.0,4.5,0.97,0.9,0.3,0.7,47.8,51.1,17.2,15.6,14.1,4.7,45.3,61.3
73,Josh Giddey,OKC,71,1.1,6.1,0.8,0.9,0.4,0.9,40.9,43.9,3.8,11.5,3.8,0.0,38.5,27.9
74,Bones Hyland,DEN,43,1.7,13.5,0.85,1.4,0.4,1.4,32.2,39.8,12.5,8.3,11.1,2.8,36.1,36.7
75,Franz Wagner,ORL,75,1.1,6.3,0.72,0.8,0.3,1.0,33.3,36.0,4.7,8.2,4.7,1.2,32.9,18.3
76,Saddiq Bey,DET,52,1.6,10.8,0.74,1.2,0.4,1.2,30.2,31.0,18.5,7.4,17.3,3.7,37.0,20.8
77,De'Andre Hunter,ATL,65,0.9,5.9,1.03,0.9,0.4,0.7,47.9,53.1,12.3,8.8,12.3,5.3,47.4,75.0
78,Dillon Brooks,MEM,68,1.0,6.6,0.81,0.8,0.3,0.9,39.7,42.2,10.0,8.6,10.0,1.4,40.0,30.8
79,Tre Mann,OKC,63,0.8,9.6,1.04,0.9,0.3,0.7,46.8,54.3,7.5,9.4,7.5,5.7,43.4,75.4
80,Talen Horton-Tucker,UTA,61,1.0,9.2,0.87,0.9,0.3,0.8,40.0,43.0,15.9,11.1,14.3,6.3,39.7,41.7
81,LaMelo Ball,CHA,36,1.8,7.1,0.83,1.5,0.6,1.3,41.7,45.8,9.4,17.2,9.4,1.6,39.1,33.3
82,D'Angelo Russell,MIN,54,0.8,4.6,1.21,1.0,0.3,0.7,47.2,59.7,14.0,4.7,9.3,2.3,48.8,93.3
83,Alperen Sengun,HOU,69,0.8,5.2,0.98,0.8,0.3,0.5,50.0,50.0,20.8,18.9,20.8,7.5,47.2,63.8
84,Keldon Johnson,SAS,61,0.9,4.3,0.9,0.8,0.3,0.7,41.5,43.9,19.3,12.3,19.3,3.5,45.6,47.1
85,John Wall,LAC,34,1.9,13.6,0.8,1.5,0.6,1.4,40.8,40.8,17.2,12.5,17.2,6.3,42.2,28.3
86,Jaren Jackson Jr.,MEM,58,0.8,4.9,1.06,0.9,0.2,0.5,45.2,45.2,34.0,12.8,31.9,12.8,51.1,80.4
87,Klay Thompson,GSW,65,0.8,3.8,0.98,0.8,0.3,0.7,46.5,54.7,5.9,9.8,5.9,0.0,43.1,63.3
88,Eric Gordon,HOU,47,1.0,7.9,1.02,1.0,0.4,0.8,43.6,50.0,10.4,10.4,8.3,2.1,43.8,71.3
89,Chris Paul,PHX,54,1.0,7.1,0.89,0.9,0.3,0.9,37.5,45.8,5.5,7.3,1.8,0.0,38.2,46.3
90,Khris Middleton,MIL,30,1.9,11.7,0.88,1.6,0.7,1.7,39.2,42.2,7.1,3.6,5.4,1.8,41.1,42.6
91,Bogdan Bogdanovic,ATL,50,0.7,5.5,1.33,1.0,0.3,0.6,51.6,66.1,11.1,2.8,11.1,0.0,55.6,97.9
92,Caleb Martin,MIA,65,0.6,5.7,1.31,0.7,0.3,0.5,58.1,66.1,11.1,8.3,11.1,5.6,55.6,97.5
93,Tyler Herro,MIA,62,1.2,5.9,0.64,0.8,0.3,1.0,27.1,30.5,9.5,10.8,9.5,0.0,29.7,8.8
94,Deni Avdija,WAS,74,0.5,5.0,1.22,0.6,0.2,0.4,58.6,60.3,21.6,10.8,18.9,10.8,56.8,94.2
95,Markelle Fultz,ORL,55,0.8,5.5,1.0,0.8,0.3,0.6,54.3,54.3,8.9,13.3,8.9,0.0,51.1,68.6
96,Reggie Jackson,LAC,52,1.3,10.6,0.64,0.8,0.3,1.1,30.5,30.5,6.0,9.0,6.0,3.0,29.9,10.0
97,Domantas Sabonis,SAC,73,0.6,3.2,1.02,0.6,0.2,0.3,58.3,58.3,22.0,19.5,19.5,0.0,56.1,72.1
98,Gary Trent Jr.,TOR,63,0.9,5.4,0.75,0.7,0.3,0.8,32.0,35.0,8.9,5.4,8.9,3.6,33.9,22.0
99,Alec Burks,DET,51,0.6,4.9,1.41,0.8,0.3,0.5,54.2,64.6,20.7,3.4,20.7,6.9,58.6,99.2
100,Mikal Bridges,BKN,20,1.9,8.4,1.05,2.0,0.7,1.6,45.5,51.5,13.2,5.3,13.2,5.3,47.4,78.7
101,Monte Morris,WAS,61,0.6,6.3,1.05,0.7,0.2,0.5,48.4,51.6,13.2,7.9,10.5,2.6,50.0,78.7
102,Marvin Bagley III,DET,37,1.1,9.8,0.98,1.1,0.4,0.8,48.3,50.0,22.0,9.8,19.5,2.4,51.2,62.5
103,Jaden Hardy,DAL,42,1.2,14.4,0.77,1.0,0.3,1.0,27.5,33.8,17.3,9.6,11.5,3.8,34.6,24.5
104,Josh Christopher,HOU,58,0.7,11.9,0.93,0.7,0.3,0.6,51.4,52.9,4.8,11.9,4.8,0.0,47.6,56.7
105,Marcus Smart,BOS,58,0.8,6.3,0.83,0.7,0.3,0.6,46.9,48.4,10.6,21.3,10.6,0.0,40.4,34.2
106,Davion Mitchell,SAC,74,0.6,9.9,0.88,0.5,0.2,0.5,44.4,47.2,11.6,11.6,9.3,7.0,41.9,44.6
107,Buddy Hield,IND,75,0.7,4.8,0.68,0.5,0.2,0.7,33.3,37.3,0.0,8.9,0.0,0.0,30.4,13.3
108,Evan Mobley,CLE,75,0.8,5.2,0.61,0.5,0.2,0.5,35.0,35.0,12.9,22.6,12.9,0.0,33.9,7.5
