,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Klay Thompson,GSW,67,6.0,29.1,0.96,5.8,2.0,5.4,37.8,51.1,3.0,8.4,2.7,0.5,36.1,50.2
1,Lauri Markkanen,UTA,66,3.2,14.8,1.11,3.6,1.2,2.7,42.2,53.1,13.2,6.1,12.7,4.2,44.3,77.4
2,Bojan Bogdanovic,DET,59,3.1,16.1,1.17,3.6,1.3,2.6,49.0,59.4,8.2,8.7,6.6,1.6,48.1,83.4
3,Stephen Curry,GSW,54,3.2,12.6,1.03,3.3,1.1,2.7,39.3,52.1,9.2,9.8,8.7,2.9,39.3,67.3
4,Jordan Poole,GSW,80,2.0,9.6,0.99,2.0,0.6,1.6,36.9,49.2,11.3,10.6,10.6,3.1,38.1,56.2
5,Devin Booker,PHX,52,2.4,9.3,1.25,3.0,1.0,1.9,55.1,63.3,14.5,9.7,14.5,3.2,54.8,91.7
6,Jaylen Brown,BOS,67,2.5,9.8,0.92,2.3,0.9,2.1,41.0,49.7,5.4,10.1,5.4,1.2,39.3,39.2
7,Jayson Tatum,BOS,73,2.1,7.5,0.97,2.0,0.7,1.7,40.3,48.0,10.6,9.9,10.6,3.3,40.4,53.5
8,Malik Beasley,UTA,55,2.4,17.8,1.1,2.6,1.0,2.3,41.9,56.2,0.0,2.3,0.0,0.0,40.9,75.6
9,Damian Lillard,POR,58,1.9,6.9,1.12,2.2,0.7,1.8,42.2,57.8,4.5,7.1,3.6,2.7,40.2,78.3
10,CJ McCollum,NOP,73,1.8,8.5,0.86,1.6,0.6,1.7,33.1,41.5,6.7,3.7,6.7,3.0,34.3,26.3
11,Desmond Bane,MEM,57,2.0,10.2,0.96,1.9,0.7,1.8,39.2,50.0,4.3,8.7,4.3,1.7,37.4,53.0
12,Tim Hardaway Jr.,DAL,71,1.1,8.2,1.35,1.5,0.4,1.0,45.6,61.8,15.0,2.5,15.0,2.5,50.0,96.8
13,Michael Porter Jr.,DEN,62,1.8,12.3,0.96,1.7,0.7,1.7,39.6,48.6,2.7,4.4,2.7,0.9,38.9,49.3
14,Donovan Mitchell,CLE,68,1.9,7.4,0.85,1.6,0.6,1.7,35.0,41.5,4.7,3.1,4.7,0.0,37.0,25.0
15,Terry Rozier,CHA,64,2.0,9.0,0.85,1.7,0.6,1.8,36.0,42.5,4.7,6.3,4.7,0.8,36.2,25.0
16,Darius Garland,CLE,69,1.2,5.6,1.29,1.5,0.5,1.0,53.6,66.7,12.2,7.3,12.2,3.7,52.4,94.5
17,Kevin Huerter,SAC,74,1.3,9.9,1.06,1.4,0.5,1.2,41.1,55.6,3.0,6.1,2.0,0.0,40.4,71.8
18,Bradley Beal,WAS,50,2.1,9.5,0.93,2.0,0.8,1.6,48.8,51.2,7.5,15.1,6.6,0.0,45.3,44.7
19,Paul George,LAC,56,1.9,8.2,0.93,1.8,0.6,1.7,36.6,45.7,7.5,7.5,6.5,1.9,37.4,41.9
20,Jordan Clarkson,UTA,61,1.9,8.6,0.86,1.6,0.6,1.6,37.5,45.3,7.1,8.8,7.1,1.8,36.3,26.7
21,Bogdan Bogdanovic,ATL,53,1.8,13.6,0.99,1.8,0.7,1.7,43.2,51.1,2.1,5.3,2.1,0.0,42.1,55.8
22,Max Strus,MIA,77,1.4,12.5,0.86,1.2,0.4,1.3,31.4,43.1,2.8,3.7,2.8,0.0,32.1,27.2
23,Zach LaVine,CHI,76,1.3,5.8,0.91,1.2,0.4,1.1,36.5,46.5,7.9,8.9,6.9,1.0,37.6,35.5
24,Kevin Durant,BKN,39,2.4,9.4,0.99,2.3,1.0,1.9,52.7,53.4,10.9,15.2,9.8,6.5,46.7,55.3
25,Kawhi Leonard,LAC,50,1.6,7.9,1.11,1.8,0.8,1.5,50.7,56.7,3.7,4.9,3.7,1.2,49.4,77.9
26,Kristaps Porzingis,WAS,65,1.5,7.3,0.9,1.3,0.4,1.2,37.2,42.9,11.3,9.3,10.3,1.0,40.2,32.7
27,De'Andre Hunter,ATL,65,1.3,8.8,1.0,1.3,0.5,1.2,44.9,46.8,8.1,1.2,8.1,0.0,48.8,61.8
28,AJ Griffin,ATL,71,1.3,15.6,0.94,1.2,0.5,1.2,42.4,48.2,3.3,3.3,2.2,0.0,41.8,47.0
29,Gary Trent Jr.,TOR,64,1.5,9.4,0.87,1.3,0.5,1.4,37.1,43.3,5.1,5.1,5.1,1.0,37.8,28.6
30,Doug McDermott,SAS,64,1.4,14.7,0.94,1.3,0.5,1.3,37.5,46.3,7.9,2.2,7.9,0.0,40.4,46.5
31,Kelly Oubre Jr.,CHA,48,1.9,9.6,0.89,1.7,0.6,1.8,36.9,42.9,9.7,3.2,9.7,3.2,39.8,32.3
32,Anfernee Simons,POR,62,1.4,6.7,0.95,1.3,0.5,1.3,38.5,50.0,1.2,6.0,1.2,0.0,36.9,48.1
33,Buddy Hield,IND,78,1.4,9.2,0.73,1.0,0.3,1.2,28.3,35.3,5.5,10.9,5.5,0.0,29.1,12.1
34,Anthony Edwards,MIN,77,1.3,5.2,0.8,1.0,0.4,1.1,35.4,42.1,7.1,11.1,7.1,1.0,34.3,20.7
35,Nikola Jokic,DEN,68,1.1,5.4,1.01,1.1,0.5,1.0,50.0,53.8,6.5,7.8,7.8,1.3,48.1,65.4
36,Dillon Brooks,MEM,72,1.1,7.2,0.95,1.1,0.4,1.0,39.4,49.3,7.3,7.3,7.3,1.2,40.2,47.5
37,Mikal Bridges,PHX,56,1.3,8.0,1.03,1.3,0.6,1.2,47.8,50.7,6.8,4.1,6.8,2.7,47.9,66.4
38,Brandon Ingram,NOP,43,1.8,7.5,0.96,1.7,0.7,1.5,43.1,44.6,11.5,5.1,9.0,0.0,47.4,51.9
39,Tyler Herro,MIA,65,1.2,5.8,0.96,1.1,0.4,1.0,41.2,48.5,5.3,6.6,3.9,1.3,40.8,51.2
40,Jerami Grant,POR,63,0.9,4.9,1.17,1.1,0.3,0.7,47.8,51.1,27.6,1.7,27.6,8.6,55.2,83.9
41,Franz Wagner,ORL,78,0.7,3.9,1.22,0.9,0.3,0.6,56.5,66.3,7.3,10.9,3.6,1.8,52.7,89.4
42,Jamal Murray,DEN,64,1.1,5.6,0.94,1.0,0.3,0.9,36.7,48.3,5.7,8.6,4.3,0.0,37.1,46.1
43,Bennedict Mathurin,IND,76,0.8,4.7,1.08,0.8,0.3,0.7,47.1,53.9,13.6,6.8,13.6,6.8,47.5,74.2
