,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Domantas Sabonis,SAC,71,3.8,21.9,1.32,5.0,1.9,2.8,69.2,69.2,20.8,9.3,20.1,3.7,68.0,54.6
1,Jarrett Allen,CLE,64,4.0,32.6,1.38,5.5,2.3,3.3,71.1,71.1,15.0,4.7,15.0,4.0,69.2,68.5
2,Evan Mobley,CLE,73,3.2,20.1,1.47,4.7,2.0,2.8,73.0,73.0,14.7,2.6,14.7,5.6,72.8,83.7
3,Rudy Gobert,MIN,62,3.4,29.0,1.4,4.8,2.0,2.7,72.8,72.8,21.1,7.0,20.7,7.5,70.0,72.4
4,Nic Claxton,BKN,68,3.2,31.1,1.33,4.3,1.9,2.8,70.6,70.6,14.5,5.0,14.5,4.5,68.2,55.5
5,Bam Adebayo,MIA,69,3.2,15.8,1.2,3.8,1.7,2.7,60.6,60.6,12.2,5.0,12.2,2.3,59.7,30.6
6,Kevon Looney,GSW,75,2.6,43.2,1.29,3.4,1.4,2.2,65.6,65.6,18.8,3.0,18.3,4.6,67.5,50.1
7,Aaron Gordon,DEN,61,2.7,18.6,1.51,4.1,1.9,2.3,81.3,81.3,14.5,4.2,13.3,3.0,78.2,91.1
8,Deandre Ayton,PHX,61,2.9,17.5,1.27,3.7,1.7,2.6,64.3,64.3,9.6,5.6,9.0,3.4,62.9,46.3
9,Ivica Zubac,LAC,68,2.5,25.5,1.29,3.2,1.3,2.0,67.4,67.4,15.5,6.0,15.5,1.8,66.1,49.6
10,Kenyon Martin Jr.,HOU,74,1.9,17.2,1.46,2.8,1.2,1.6,75.4,75.4,17.9,5.7,17.9,7.9,72.9,83.4
11,Nikola Jokic,DEN,65,2.2,10.4,1.43,3.1,1.3,1.9,70.2,70.2,15.6,4.3,14.2,7.8,68.8,77.2
12,Clint Capela,ATL,57,2.3,23.2,1.39,3.2,1.5,2.1,72.3,72.3,8.3,3.0,8.3,1.5,70.5,69.1
13,Jonas Valanciunas,NOP,70,2.0,15.0,1.27,2.6,1.1,1.6,65.2,65.2,14.0,7.7,13.3,2.1,64.3,45.2
14,Onyeka Okongwu,ATL,71,1.8,22.2,1.4,2.5,1.1,1.5,71.7,71.7,15.5,5.4,15.5,3.1,71.3,72.1
15,Walker Kessler,UTA,69,2.0,29.0,1.29,2.6,1.2,1.7,73.0,73.0,12.1,7.9,10.7,2.1,67.1,50.4
16,Mason Plumlee,CHA,56,2.3,21.3,1.38,3.1,1.2,1.6,75.3,75.3,28.3,6.3,27.6,4.7,73.2,67.1
