,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Luka Doncic,DAL,65,7.2,23.8,1.1,7.9,2.5,5.5,45.0,52.9,19.9,6.0,16.7,3.0,50.3,85.0
1,Shai Gilgeous-Alexander,OKC,68,6.5,23.5,1.06,6.9,2.3,4.9,46.0,47.5,20.9,6.3,18.9,2.7,52.7,78.5
2,Joel Embiid,PHI,66,6.6,23.0,1.07,7.0,2.5,4.9,50.0,50.9,19.1,9.7,18.2,3.7,53.0,80.2
3,James Harden,PHI,58,6.2,30.3,1.1,6.8,1.9,4.8,41.0,49.1,20.7,6.7,20.1,4.7,46.6,84.2
4,Julius Randle,NYK,77,4.9,20.5,0.97,4.8,1.6,3.6,45.0,49.3,18.4,12.9,16.5,4.5,45.9,65.2
5,Damian Lillard,POR,58,4.9,17.5,1.17,5.7,1.8,3.6,49.0,55.0,21.4,9.1,19.6,4.6,53.0,91.1
6,Anthony Edwards,MIN,77,4.4,17.9,0.95,4.2,1.6,3.9,42.0,49.0,6.8,7.1,6.8,1.5,41.6,59.9
7,Jayson Tatum,BOS,73,4.7,17.3,0.93,4.4,1.3,3.7,35.0,42.4,15.0,8.7,14.2,1.2,41.0,55.5
8,DeMar DeRozan,CHI,73,3.6,15.9,1.16,4.2,1.3,2.7,49.0,50.0,27.0,6.1,26.2,6.8,56.3,88.7
9,Pascal Siakam,TOR,70,3.7,15.5,0.99,3.7,1.4,2.9,48.0,48.5,15.8,8.1,13.5,1.9,50.8,66.8
10,Kyrie Irving,BKN,40,4.8,19.8,1.28,6.2,2.3,4.1,56.0,61.8,15.0,5.7,14.0,6.2,56.5,96.0
11,Zach LaVine,CHI,76,2.9,12.6,1.09,3.1,1.1,2.3,48.0,54.8,13.7,9.6,13.7,4.6,48.4,82.6
12,Dejounte Murray,ATL,73,3.5,16.4,0.9,3.1,1.2,2.9,42.0,45.0,8.7,9.5,8.7,1.6,42.3,50.2
13,Trae Young,ATL,72,3.4,12.7,0.92,3.1,1.0,2.6,39.0,43.2,15.4,10.6,12.2,3.3,42.3,53.8
14,Spencer Dinwiddie,DAL,53,4.3,25.9,0.99,4.2,1.3,3.2,40.0,45.6,18.1,7.1,17.7,1.8,46.5,66.4
15,Jalen Brunson,NYK,68,2.9,13.2,1.1,3.2,1.2,2.5,50.0,54.5,12.2,6.6,10.7,4.1,50.3,84.6
16,Kevin Durant,BKN,39,5.4,21.6,1.02,5.6,2.0,4.2,48.0,50.6,13.2,12.3,12.3,2.4,48.1,73.3
17,Giannis Antetokounmpo,MIL,63,4.1,14.0,0.83,3.4,1.2,3.0,41.0,40.8,18.8,11.5,18.1,4.2,43.5,35.6
18,Jimmy Butler,MIA,64,3.1,16.2,1.05,3.2,1.0,2.3,44.0,47.6,21.8,6.6,21.3,3.6,50.8,76.5
19,De'Aaron Fox,SAC,72,2.5,10.8,1.09,2.8,1.1,2.1,52.0,54.7,15.3,7.7,14.8,3.8,52.5,83.0
20,Paolo Banchero,ORL,72,3.2,15.0,0.85,2.8,0.9,2.3,38.0,40.7,21.5,11.2,20.6,4.7,42.5,40.1
21,Kawhi Leonard,LAC,50,3.7,18.1,1.02,3.8,1.5,3.2,47.0,50.9,10.8,4.8,9.1,1.6,48.4,72.5
22,Donovan Mitchell,CLE,68,2.4,9.6,1.11,2.7,0.9,2.1,45.0,53.9,13.3,7.2,12.0,4.8,46.4,85.4
23,Jalen Green,HOU,74,2.6,11.5,0.93,2.5,0.8,2.1,39.0,45.3,15.8,7.1,14.8,4.6,42.9,56.1
24,Bam Adebayo,MIA,74,2.4,11.9,1.02,2.4,0.9,1.9,49.0,49.3,18.2,6.8,18.2,4.5,51.1,72.9
25,Kevin Porter Jr.,HOU,58,3.0,15.3,1.0,3.0,1.0,2.5,38.0,46.3,14.2,5.1,11.9,2.8,43.2,69.5
26,LeBron James,LAL,53,4.0,14.6,0.81,3.3,1.3,3.5,36.0,38.6,9.3,5.6,8.9,2.8,37.9,31.2
27,Paul George,LAC,56,3.4,14.5,0.91,3.1,1.1,2.7,42.0,46.1,10.6,10.1,8.5,1.6,43.1,51.8
28,Devin Booker,PHX,53,3.5,13.6,0.9,3.1,1.1,2.7,40.0,41.7,14.2,8.7,13.7,2.2,43.7,48.6
29,Russell Westbrook,LAL,52,3.9,19.9,0.77,3.0,1.2,3.2,37.0,39.2,13.3,8.9,12.3,3.9,37.4,27.1
30,Jaylen Brown,BOS,67,2.6,9.9,0.91,2.3,0.9,2.1,43.0,46.9,9.9,9.4,9.9,2.9,42.1,52.2
31,Anfernee Simons,POR,62,2.8,14.0,0.89,2.5,0.9,2.3,39.0,41.8,13.2,10.3,11.5,4.6,40.2,46.2
