,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Jonas Valanciunas,NOP,79,2.4,17.7,1.17,2.8,1.2,2.0,59.6,59.6,10.0,6.8,9.5,1.6,58.9,58.9
1,Anthony Davis,LAL,56,3.0,12.9,1.31,3.9,1.5,2.3,64.6,64.6,21.0,5.4,20.5,4.8,65.7,80.4
2,Walker Kessler,UTA,74,2.1,29.0,1.25,2.7,1.2,1.8,65.4,65.4,19.0,4.4,17.7,7.6,64.6,73.5
3,Rudy Gobert,MIN,70,2.5,21.2,1.12,2.8,1.1,2.0,56.5,56.5,17.0,6.9,16.2,3.5,56.6,48.2
4,Onyeka Okongwu,ATL,80,1.8,21.2,1.36,2.4,1.0,1.4,69.6,69.6,18.0,4.3,17.7,2.1,69.5,84.5
5,Daniel Gafford,WAS,78,1.6,22.2,1.48,2.3,1.0,1.3,75.2,75.2,19.0,5.7,17.9,9.8,72.4,93.8
6,Clint Capela,ATL,65,2.7,27.2,1.02,2.8,1.2,2.4,51.0,51.0,11.0,3.4,10.7,1.7,52.0,34.8
7,Jarrett Allen,CLE,68,2.1,17.2,1.23,2.6,1.0,1.6,64.5,64.5,18.0,5.0,17.7,1.4,65.2,69.3
8,Domantas Sabonis,SAC,79,1.9,11.0,1.16,2.2,0.9,1.6,54.8,54.8,17.0,4.0,16.7,4.7,57.3,56.3
9,Mitchell Robinson,NYK,59,2.9,45.7,1.01,2.9,1.2,2.2,55.7,55.7,16.0,9.9,15.7,1.7,52.3,33.9
10,Nikola Jokic,DEN,69,1.8,8.6,1.35,2.4,1.0,1.6,64.5,64.5,18.0,3.2,17.7,7.3,66.1,83.9
11,Jalen Duren,DET,67,2.2,26.0,1.13,2.5,1.1,1.7,61.7,61.7,15.0,9.6,14.4,3.4,59.6,50.9
12,Ivica Zubac,LAC,76,2.1,21.3,1.03,2.1,0.9,1.7,53.5,53.5,14.0,8.2,12.7,2.5,53.2,35.7
13,Kevon Looney,GSW,82,1.6,26.3,1.23,2.0,0.9,1.4,63.7,63.7,9.0,4.6,8.5,0.8,63.8,68.7
14,Chris Boucher,TOR,76,1.8,21.0,1.17,2.1,0.9,1.6,55.8,55.8,13.0,2.2,13.2,3.7,58.8,58.3
15,Giannis Antetokounmpo,MIL,63,1.6,5.3,1.59,2.5,1.0,1.2,86.3,86.3,24.0,7.1,23.2,5.1,80.8,98.2
16,Nick Richards,CHA,65,2.0,29.1,1.19,2.4,0.9,1.6,57.0,57.0,22.0,4.6,20.0,8.5,60.0,60.4
17,Tari Eason,HOU,82,1.6,15.8,1.15,1.8,0.8,1.4,57.8,57.8,9.0,4.6,9.2,3.1,57.7,55.4
18,Deandre Ayton,PHX,67,1.8,11.2,1.2,2.2,0.9,1.5,61.0,61.5,15.0,6.5,15.4,4.1,59.3,63.1
19,Alperen Sengun,HOU,75,1.9,12.6,0.98,1.8,0.8,1.6,51.3,51.3,11.0,10.7,8.6,5.0,48.6,28.6
20,Julius Randle,NYK,77,1.2,4.9,1.45,1.7,0.8,1.0,76.3,76.3,20.0,8.7,17.4,10.9,70.7,92.6
21,Nic Claxton,BKN,76,1.2,11.8,1.43,1.8,0.8,1.0,74.4,74.4,13.0,6.5,12.9,3.2,71.0,91.4
22,Aaron Gordon,DEN,68,1.6,11.0,1.2,1.9,0.9,1.5,60.6,60.6,11.0,0.9,10.0,1.8,62.7,64.2
23,Mason Plumlee,CHA,56,1.9,17.6,1.24,2.3,1.0,1.6,61.8,61.8,15.0,6.7,15.2,6.7,61.0,70.5
24,Wendell Carter Jr.,ORL,57,1.6,11.0,1.44,2.2,0.8,1.2,70.1,70.1,28.0,4.5,27.0,7.9,73.0,92.0
25,Isaiah Hartenstein,NYK,82,1.5,28.1,1.05,1.5,0.7,1.3,53.3,53.3,8.0,5.0,8.4,1.7,53.8,39.6
26,Lauri Markkanen,UTA,66,1.5,6.8,1.27,1.9,0.8,1.3,61.4,62.0,14.0,6.2,13.4,6.2,60.8,75.3
