,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Giannis Antetokounmpo,MIL,58,8.1,27.2,1.16,9.4,3.1,5.2,59.4,61.1,32.7,10.3,31.0,7.9,60.3,55.1
1,Shai Gilgeous-Alexander,OKC,63,6.0,21.6,1.25,7.5,2.4,4.3,56.1,59.2,24.3,8.2,21.6,4.0,60.2,74.8
2,Jaylen Brown,BOS,62,5.6,22.0,1.27,7.1,2.7,4.4,62.1,66.9,16.4,9.5,15.8,4.0,60.3,78.1
3,De'Aaron Fox,SAC,66,5.5,23.5,1.18,6.5,2.4,4.0,59.8,62.6,20.1,11.8,18.7,5.2,56.9,60.4
4,LeBron James,LAL,47,7.1,25.2,1.2,8.5,3.1,5.0,62.0,65.0,21.0,13.2,19.8,5.4,59.2,64.8
5,Anthony Edwards,MIN,71,5.3,21.2,1.06,5.6,2.0,3.7,53.4,59.2,18.0,18.0,17.4,6.2,48.8,33.7
6,Zach LaVine,CHI,69,4.4,19.2,1.2,5.3,1.8,3.2,56.6,61.9,20.3,10.5,20.3,3.6,56.9,66.7
7,Jayson Tatum,BOS,69,4.2,15.1,1.27,5.3,1.8,3.1,59.0,64.2,20.4,10.4,20.1,4.2,59.2,77.7
8,Buddy Hield,IND,74,3.9,25.5,1.25,4.9,1.8,3.5,51.5,67.5,2.7,8.2,2.1,0.3,48.5,75.7
9,Jordan Poole,GSW,75,4.1,19.7,1.12,4.6,1.6,3.0,53.1,59.5,15.5,13.9,12.9,2.6,51.8,46.8
10,Ja Morant,MEM,55,5.4,20.0,1.13,6.2,2.3,3.9,59.6,62.9,17.4,15.4,15.4,4.3,55.2,51.2
11,Trae Young,ATL,66,5.2,19.1,0.98,5.1,1.6,3.6,44.7,50.4,18.9,14.5,14.2,2.3,46.5,22.8
12,Donovan Mitchell,CLE,63,4.5,17.8,1.19,5.3,2.0,3.6,56.3,63.5,11.0,11.4,8.5,3.9,52.7,62.1
13,Bennedict Mathurin,IND,70,3.9,24.3,1.2,4.7,1.5,2.7,54.2,60.8,24.6,10.5,23.9,4.0,57.2,67.0
14,Desmond Bane,MEM,51,5.4,27.6,1.16,6.2,2.3,4.6,49.6,60.3,9.9,8.8,9.1,4.0,48.2,55.4
15,Pascal Siakam,TOR,64,4.0,16.4,1.2,4.7,1.7,2.8,60.6,64.2,21.3,12.3,20.2,4.7,58.9,65.2
16,Terry Rozier,CHA,64,4.5,20.2,1.05,4.7,1.8,3.6,48.5,54.7,11.9,9.8,11.2,3.5,47.7,30.9
17,O.G. Anunoby,TOR,60,4.0,24.3,1.25,5.0,1.9,3.2,59.6,66.1,11.8,10.5,10.9,3.4,56.3,74.6
18,Trey Murphy III,NOP,70,3.0,27.1,1.4,4.2,1.6,2.6,60.3,71.5,9.4,6.6,9.0,2.8,59.0,89.9
19,RJ Barrett,NYK,68,4.1,20.1,1.04,4.3,1.6,3.1,51.4,55.5,17.7,10.6,18.1,2.8,51.1,30.4
20,Gary Trent Jr.,TOR,63,3.9,23.8,1.18,4.6,1.6,3.4,47.4,57.0,11.7,3.2,10.5,1.2,51.4,60.2
21,Kyle Kuzma,WAS,64,4.2,18.7,1.08,4.5,1.8,3.2,56.3,61.9,9.7,15.7,9.7,2.2,49.3,38.1
22,Lauri Markkanen,UTA,64,3.5,16.3,1.28,4.5,1.6,2.7,59.5,66.2,16.4,10.2,15.1,3.6,57.8,79.6
23,Paolo Banchero,ORL,67,4.0,18.7,1.06,4.3,1.4,2.6,53.1,54.8,26.2,14.0,24.7,6.6,53.9,34.6
24,Franz Wagner,ORL,73,2.8,15.9,1.36,3.8,1.3,2.3,59.4,69.7,16.4,7.2,15.5,3.4,59.4,86.4
25,Julius Randle,NYK,75,3.5,14.5,1.06,3.7,1.4,2.7,51.0,56.4,15.0,13.2,15.0,5.3,48.5,32.6
26,Tyrese Maxey,PHI,54,3.6,19.7,1.43,5.1,1.9,3.0,62.3,70.1,18.1,5.2,16.6,7.3,63.2,91.2
27,Keldon Johnson,SAS,61,3.9,18.1,1.13,4.5,1.7,3.3,53.3,59.5,15.4,8.3,14.6,6.7,51.3,51.0
28,Klay Thompson,GSW,63,3.6,17.4,1.19,4.3,1.6,3.2,49.5,62.7,3.5,7.0,3.1,0.4,47.6,64.3
29,Jerami Grant,POR,63,3.1,16.4,1.35,4.1,1.5,2.3,62.8,70.3,19.2,7.3,20.2,4.7,62.7,86.0
30,Jaden Ivey,DET,66,4.0,22.3,0.98,3.9,1.3,2.6,49.1,53.3,22.8,15.6,20.5,3.0,50.2,21.9
31,Michael Porter Jr.,DEN,56,3.3,22.5,1.36,4.6,1.5,2.8,55.5,71.3,13.4,8.0,12.8,4.3,55.1,87.5
32,Josh Giddey,OKC,69,3.6,20.3,1.02,3.7,1.6,2.9,55.6,57.6,8.4,17.1,8.4,4.4,47.8,27.4
33,CJ McCollum,NOP,66,3.9,17.9,0.99,3.9,1.5,3.3,44.2,53.2,7.0,9.7,6.2,0.8,43.0,23.4
34,Fred VanVleet,TOR,62,3.7,18.7,1.09,4.1,1.3,2.9,42.9,53.0,15.9,8.2,13.4,2.6,47.0,42.0
35,Bojan Bogdanovic,DET,59,3.6,18.6,1.19,4.3,1.5,2.8,53.4,62.0,14.2,10.4,11.8,1.9,53.3,63.7
36,Bam Adebayo,MIA,69,3.1,15.4,1.17,3.6,1.3,2.2,60.7,61.0,22.8,13.0,21.9,5.6,58.6,58.6
37,Tyrese Haliburton,IND,55,3.3,17.7,1.36,4.5,1.7,2.7,64.4,77.4,8.7,16.3,8.2,4.3,55.4,86.7
38,Malik Monk,SAC,70,3.2,23.9,1.11,3.6,1.3,2.5,50.0,59.3,10.7,12.5,9.4,2.7,47.8,45.5
39,Devin Booker,PHX,46,4.6,18.0,1.17,5.4,2.0,3.8,54.0,60.3,13.2,8.5,10.8,3.8,53.8,58.9
40,Dejounte Murray,ATL,66,3.3,15.3,1.14,3.7,1.5,2.5,58.9,64.6,9.8,14.4,9.3,2.8,52.6,52.3
41,Jalen Brunson,NYK,65,2.7,12.6,1.36,3.7,1.2,2.1,59.1,66.4,21.9,7.3,18.0,6.2,60.1,87.1
42,Bruce Brown,DEN,72,2.5,22.8,1.32,3.3,1.4,2.1,66.2,70.9,9.9,9.9,8.2,2.7,62.1,84.0
43,Tobias Harris,PHI,68,2.5,18.5,1.39,3.5,1.5,2.2,66.9,74.3,7.6,8.8,7.0,2.9,62.0,89.5
44,Stephen Curry,GSW,49,4.0,15.8,1.21,4.8,1.7,3.1,53.6,65.6,10.8,13.3,10.3,2.1,50.3,67.8
45,Harrison Barnes,SAC,73,2.8,21.4,1.16,3.2,1.0,2.2,47.8,56.9,16.7,7.4,16.3,3.0,51.2,54.7
46,Kenyon Martin Jr.,HOU,74,2.6,23.7,1.21,3.2,1.3,2.0,66.7,67.0,16.6,8.8,16.1,2.6,61.7,68.7
47,De'Andre Hunter,ATL,63,2.8,18.8,1.3,3.7,1.3,2.3,57.9,66.2,15.3,6.8,14.1,4.0,58.8,81.2
48,Mikal Bridges,PHX,56,3.4,21.0,1.2,4.1,1.4,2.8,52.3,60.6,13.1,7.9,13.6,2.6,52.9,65.4
49,Jordan Clarkson,UTA,61,3.2,14.8,1.17,3.7,1.3,2.5,52.6,64.6,9.8,14.4,8.2,3.6,47.4,56.7
50,Darius Garland,CLE,64,3.2,15.3,1.09,3.5,1.2,2.4,51.0,60.6,12.1,16.4,9.7,1.9,47.3,40.0
51,Jimmy Butler,MIA,59,2.7,14.2,1.37,3.8,1.3,2.0,66.4,66.8,24.1,8.0,22.8,6.2,66.0,87.7
52,Jaden McDaniels,MIN,71,2.6,23.3,1.19,3.1,1.3,2.1,61.0,65.8,11.8,13.9,11.8,3.7,55.6,62.8
53,Jrue Holiday,MIL,61,2.9,15.1,1.24,3.6,1.3,2.2,59.7,73.1,7.4,18.2,5.7,1.7,51.1,74.2
54,Kentavious Caldwell-Pope,DEN,71,2.7,26.8,1.15,3.1,1.1,2.1,51.0,63.6,10.6,12.2,10.1,1.1,49.2,53.8
55,Jaylen Nowell,MIN,64,2.7,24.4,1.23,3.4,1.3,2.3,57.5,63.4,13.1,8.0,12.0,4.6,55.4,72.6
56,Ayo Dosunmu,CHI,71,2.6,28.5,1.18,3.0,1.2,2.1,57.4,60.5,13.1,8.2,12.0,2.2,57.4,60.0
57,Jalen Williams,OKC,68,2.7,21.1,1.15,3.1,1.2,2.1,59.3,62.9,14.0,13.4,13.4,2.7,55.4,54.5
58,Paul George,LAC,56,3.4,14.5,1.12,3.8,1.2,2.3,54.3,63.0,18.0,18.5,16.9,3.7,49.7,48.4
59,Aaron Gordon,DEN,61,2.8,19.4,1.23,3.5,1.2,2.1,59.1,67.7,19.2,11.0,17.4,4.7,57.0,71.6
60,Kyrie Irving,BKN,40,4.8,19.7,1.07,5.2,1.9,4.0,48.1,57.3,7.8,11.5,7.8,2.1,45.3,36.3
61,Immanuel Quickley,NYK,74,2.3,17.3,1.21,2.8,0.9,1.7,55.2,64.0,17.3,11.9,16.1,3.6,54.8,69.1
62,Jalen Green,HOU,68,2.6,11.2,1.14,2.9,1.1,2.0,56.5,60.9,12.0,11.4,12.0,2.3,53.7,51.9
63,Kelly Oubre Jr.,CHA,48,3.7,18.6,1.12,4.2,1.6,3.2,50.6,55.2,13.4,6.1,11.7,5.6,51.4,47.0
64,Norman Powell,LAC,54,3.4,22.0,1.1,3.7,1.3,2.6,49.3,58.9,15.4,9.3,12.1,1.6,50.5,43.1
65,Jalen McDaniels,CHA,56,3.2,28.8,1.12,3.5,1.3,2.5,52.5,55.7,16.9,9.0,15.3,5.6,53.1,47.6
66,Tyus Jones,MEM,73,2.1,20.3,1.27,2.7,1.0,1.9,51.1,66.4,7.2,5.2,4.6,2.0,49.7,78.8
67,Luguentz Dort,OKC,67,2.8,19.6,1.02,2.9,1.0,2.3,41.3,49.0,15.8,5.3,15.3,2.6,46.3,26.9
68,Joel Embiid,PHI,60,2.5,8.7,1.26,3.2,1.1,1.7,64.1,68.0,22.5,11.3,23.2,2.6,62.9,77.5
69,Luka Doncic,DAL,59,2.9,9.7,1.09,3.2,1.0,1.9,52.7,61.2,21.3,17.2,18.4,2.9,51.1,41.8
70,Josh Hart,POR,51,3.2,32.9,1.17,3.7,1.4,2.3,62.4,62.8,21.0,14.2,19.8,7.4,57.4,57.8
71,Scottie Barnes,TOR,69,2.8,16.8,0.97,2.7,1.1,1.9,54.9,56.0,17.0,20.1,16.0,5.7,48.5,21.7
72,Tyler Herro,MIA,60,2.7,13.4,1.15,3.1,1.2,2.3,50.7,62.5,4.9,12.3,4.9,0.6,46.6,53.4
73,Damian Lillard,POR,58,3.0,10.6,1.09,3.2,1.0,2.3,42.6,52.2,15.7,8.1,14.5,2.9,46.5,40.4
74,P.J. Washington,CHA,70,2.5,15.6,1.09,2.7,1.0,2.1,49.3,56.5,9.9,7.0,9.9,1.7,49.4,40.4
75,Tim Hardaway Jr.,DAL,65,2.7,19.6,1.07,2.9,1.0,2.3,43.2,53.7,9.8,8.6,9.2,3.4,43.1,37.0
76,Nikola Jokic,DEN,65,2.2,10.7,1.24,2.8,1.1,1.5,76.3,76.8,15.2,22.1,13.8,4.1,62.1,73.5
77,Anfernee Simons,POR,62,2.7,13.7,1.06,2.9,1.1,2.2,49.6,57.3,8.8,13.5,7.6,2.9,45.9,33.3
78,Kawhi Leonard,LAC,45,3.0,14.6,1.33,4.0,1.4,2.3,61.0,68.6,20.0,7.4,21.5,6.7,60.7,84.2
79,Tre Jones,SAS,60,2.7,19.6,1.12,3.0,1.3,2.1,60.8,62.4,9.4,16.3,8.8,3.8,53.1,47.9
80,Kevin Durant,BKN,39,3.6,14.5,1.25,4.6,1.6,2.9,57.1,65.2,12.7,11.3,11.3,3.5,54.2,75.9
81,Hamidou Diallo,DET,56,2.6,28.7,1.21,3.2,1.4,2.0,70.9,70.9,19.7,11.6,18.4,6.1,62.6,68.1
82,Derrick White,BOS,74,2.1,18.8,1.15,2.4,0.8,1.6,53.4,60.3,17.4,12.9,17.4,5.2,52.3,54.0
83,James Harden,PHI,53,3.1,14.8,1.1,3.4,1.1,1.9,58.3,65.5,19.8,22.8,18.5,6.2,50.0,42.9
84,Bol Bol,ORL,67,2.4,27.7,1.08,2.7,1.1,1.8,60.7,63.1,11.6,17.7,11.0,3.7,52.4,39.6
85,Keegan Murray,SAC,71,2.5,23.2,0.99,2.5,0.9,2.3,38.5,49.4,8.9,3.9,8.4,2.8,40.2,24.3
86,De'Anthony Melton,PHI,70,2.5,23.8,1.02,2.5,0.9,2.0,47.1,57.9,5.8,15.0,5.2,1.7,42.2,27.6
87,Quentin Grimes,NYK,64,2.3,24.7,1.17,2.7,1.0,2.0,52.0,62.0,10.7,8.1,9.4,2.7,51.0,59.7
88,Kevin Huerter,SAC,67,2.5,19.0,1.03,2.6,1.0,2.1,47.5,56.4,5.9,11.2,5.3,0.0,44.7,28.9
89,Devin Vassell,SAS,38,3.3,18.6,1.38,4.6,1.6,2.8,55.1,70.6,11.9,6.3,11.1,3.2,55.6,88.6
90,Jamal Murray,DEN,59,2.6,13.2,1.12,2.9,1.1,2.1,52.0,62.6,8.4,13.5,6.5,1.3,48.4,48.8
91,Markelle Fultz,ORL,53,2.9,19.3,1.13,3.3,1.3,2.3,59.2,60.0,13.7,13.1,9.8,5.2,54.9,50.8
92,Aaron Nesmith,IND,65,2.4,24.8,1.09,2.6,0.9,1.9,48.8,56.1,13.9,10.8,13.9,2.5,49.4,40.9
93,Terance Mann,LAC,73,2.0,24.8,1.15,2.3,0.9,1.6,57.3,62.8,12.9,12.2,10.2,4.8,53.1,54.3
94,Lonnie Walker IV,LAL,52,3.0,25.8,1.07,3.2,1.3,2.6,48.5,53.0,11.5,5.1,10.2,1.9,51.0,35.9
95,Dillon Brooks,MEM,66,2.9,18.5,0.88,2.5,0.9,2.5,38.3,45.1,7.8,9.9,7.3,2.1,38.0,12.1
96,Herbert Jones,NOP,57,2.6,25.7,1.14,2.9,1.2,1.9,60.0,63.2,13.7,13.0,12.3,2.1,56.2,52.1
97,Corey Kispert,WAS,66,1.8,21.8,1.37,2.5,0.9,1.6,57.7,70.2,12.4,4.1,10.7,2.5,58.7,88.0
98,Malcolm Brogdon,BOS,61,2.3,17.7,1.15,2.7,1.0,1.8,52.7,62.7,11.9,13.3,9.8,2.1,49.7,53.0
99,Jabari Smith Jr.,HOU,71,2.2,16.1,1.06,2.3,0.9,1.9,47.7,55.7,9.0,8.4,9.0,2.6,46.5,33.0
100,Spencer Dinwiddie,DAL,53,2.7,16.3,1.15,3.1,1.1,2.1,50.9,58.0,16.2,9.2,16.2,4.2,51.4,53.6
101,Tari Eason,HOU,74,2.2,22.6,0.99,2.2,0.9,1.6,54.1,54.5,14.6,14.6,14.0,3.7,50.6,24.1
102,Saddiq Bey,DET,52,2.5,17.1,1.26,3.1,1.1,1.9,55.0,63.5,17.2,7.8,17.2,3.9,56.3,76.4
103,Evan Mobley,CLE,73,1.8,11.7,1.19,2.2,1.0,1.4,69.6,69.6,13.3,14.8,11.9,3.7,60.7,62.4
104,Collin Sexton,UTA,47,2.7,20.6,1.24,3.4,1.2,2.2,55.8,61.1,18.8,7.8,17.2,7.8,56.3,73.7
105,Myles Turner,IND,62,2.1,13.6,1.22,2.6,0.9,1.8,52.3,61.0,15.4,4.6,16.2,4.6,54.6,71.1
106,Kevin Porter Jr.,HOU,52,2.7,13.4,1.13,3.0,1.1,1.9,59.2,64.8,17.3,18.7,15.1,6.5,51.8,50.5
107,D'Angelo Russell,MIN,54,2.5,14.4,1.15,2.9,1.1,2.1,50.9,61.8,6.6,11.8,5.1,2.2,47.1,53.2
108,Naji Marshall,NOP,68,2.0,20.1,1.14,2.3,0.8,1.5,55.9,60.3,16.2,13.2,13.2,4.4,52.9,51.6
109,Coby White,CHI,65,2.2,25.1,1.06,2.4,0.8,1.8,46.6,56.4,10.3,10.3,8.9,1.4,45.2,34.1
110,John Collins,ATL,63,1.9,15.5,1.3,2.4,1.0,1.6,61.6,65.2,17.8,5.1,17.8,6.8,61.9,82.3
